,Band gap [eV],Predicted
0,0.342,0.3360138981107132
1,2.583,2.324339700556248
2,0.615,1.3004659566004275
3,2.65,2.1531801257011858
4,1.35,2.0850045557074934
5,0.379,1.077170986428985
6,0.315,0.3983265625860846
7,0.935,1.0114492484045527
8,1.365,1.3095169012940335
9,2.1630000000000003,2.260317872482542
10,1.071,1.1887150225989205
11,3.492,2.726024743158924
12,1.635,1.5779213875713696
13,2.583,1.3252694496501447
14,0.73,0.8337452921721892
15,1.129,1.9392831144477458
16,1.9280000000000002,1.8584177757468199
17,4.7010000000000005,4.38325669075472
18,4.007,3.896338885440753
19,1.5419999999999998,1.1911800597834614
20,1.2890000000000001,1.9875913192717884
21,0.366,0.3591386396914977
22,0.5329999999999999,0.6713461764199784
23,1.702,1.3066686549539657
24,0.273,0.5771549095761457
25,0.235,0.40929158054630477
26,2.563,1.5369499840830878
27,6.1979999999999995,6.143225836667712
28,1.515,1.4307810171261939
29,4.694,4.606472505567186
30,1.2830000000000001,1.3675496063129036
31,1.649,1.6284444167688152
32,0.736,1.2716454029209516
33,1.6580000000000001,1.263071014104608
34,1.306,1.4146605282511526
35,0.366,0.5704796603242448
36,2.039,1.6905269283860769
37,1.935,2.112568052256273
38,1.489,1.4023211697055484
39,4.3069999999999995,4.061010617124511
40,1.528,0.8652493617254968
41,3.228,2.7045156581100227
42,1.43,1.299954175898622
43,3.344,2.9484122368149173
44,0.361,0.46957028067648476
45,1.006,0.381655992129911
46,0.341,0.34534517455782016
47,0.792,0.6843340608076557
48,2.633,1.987400244744786
49,2.9610000000000003,2.876436055023133
50,1.224,1.1115783374412462
51,3.438,2.2609105309957758
52,1.755,1.1844973825559653
53,3.372,3.0255989287275753
54,0.262,0.34104318442300086
55,1.1540000000000001,1.3551546062171032
56,3.463,3.488427487939098
57,2.3930000000000002,2.32229957252766
58,1.36,1.9300047934251843
59,0.501,0.7249668480802098
60,1.073,1.2236902347246796
61,1.275,1.5590419300295044
62,0.638,0.7822163622737817
63,4.126,2.6804741904882072
64,0.5429999999999999,0.5977577243785446
65,1.632,1.6349464926506434
66,1.0290000000000001,1.1630496895317632
67,1.713,2.090665610920473
68,1.515,1.7929192703908052
69,0.958,0.8558598934422487
70,3.011,2.905231744175297
71,0.759,0.6137784565439613
72,0.997,1.073099999790347
73,4.473,4.592338296495346
74,0.8759999999999999,0.7736035735952879
75,1.787,1.53445443258654
76,1.2570000000000001,1.2961022006115754
77,2.636,1.9203553259819184
78,1.858,1.6840674280264911
79,1.964,2.075021828109772
80,1.911,1.5410187452262112
81,1.85,2.062021331488299
82,1.093,1.2885791106828328
83,2.012,1.6959024560655849
84,2.471,1.66026284301097
85,0.342,0.5040200201685813
86,4.363,4.626789153256128
87,1.0490000000000002,0.4372937782498788
88,0.586,0.8832658955653491
89,1.151,1.1158017327924687
90,1.8619999999999999,1.6580153397516755
91,1.5730000000000002,1.285294862911688
92,2.7089999999999996,3.2367501506137044
93,0.8109999999999999,0.8294514174775833
94,5.604,5.480410136240625
95,0.32299999999999995,0.5916033146502115
96,1.178,1.1476552874544692
97,0.77,0.7097753569349587
98,1.041,0.7665536873401269
99,3.534,3.445470436863638
100,2.843,2.277448774040121
101,3.738,2.6435586563171576
102,1.3880000000000001,1.2835552705557143
103,1.7619999999999998,2.007770815180751
104,2.571,2.3395129624374484
105,1.548,1.065273814876548
106,1.641,1.7009635318849428
107,1.5959999999999999,1.130362294256456
108,0.402,0.5607356011424399
109,0.539,0.7507000082182923
110,5.007,4.926992301820537
111,0.5710000000000001,0.24886031955306623
112,0.384,0.4509296733045245
113,1.041,1.576096022963304
114,3.4189999999999996,2.453056080230733
115,2.228,1.9834738797140163
116,1.77,1.1639721877825335
117,0.878,1.1733387110717384
118,0.5920000000000001,0.963844445762725
119,1.042,1.0343076400017717
120,1.4280000000000002,3.240652729035033
121,1.935,2.0030765355986424
122,1.742,1.217257169733566
123,0.541,0.897831096168734
124,1.746,1.492021517328285
125,2.083,1.5558076337701643
126,1.831,1.8392516487502204
127,1.2690000000000001,1.6622067003953562
128,0.24600000000000002,0.5998938568952116
129,0.423,2.1563385495665766
130,0.47100000000000003,0.5897895186255169
131,2.489,2.320641977169444
132,1.993,1.9220543880264411
133,0.853,1.0306330426243857
134,0.273,0.20277445736093863
135,1.129,1.1725208411376182
136,1.764,1.8084044133285626
137,5.872000000000001,5.757626972897994
