,Unnamed: 0,Unnamed: 0.1,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],Octahedral Factor,Tolerance Factor,A Ionization Energy,B Ionization Energy,A Electronegativity,B Electronegativity,Goldschmidt Tolerance Factor
1183,1183,1183,DyCuO3,Dy,Cu,0,3,3,1.08,0.54,orthorhombic,-2.282,0.047,0,10.964,0.256,5.205,5.86,7.189,90,90,90,0.68,0.4,0.9091372901000001,5.94,7.726,1.22,1.9,0.9039303181999999
1184,1184,1184,Dy2O3,Dy,Dy,0,not balanced,not balanced,1.08,0.99,cubic,-2.904,0.946,0,15.461,1.645,4.26,4.26,4.26,90,90,90,0.855,0.7333333333,0.7343031958,5.94,5.94,1.22,1.22,0.7337342332
1185,1185,1185,DyErO3,Dy,Er,0,not balanced,not balanced,1.08,0.89,cubic,-3.004,0.869,0,14.941,1.781,4.212,4.212,4.212,90,90,90,1.611,0.6592592593,0.7670845884999999,5.94,6.101,1.22,1.24,0.7657750294
1187,1187,1187,DyFeO3,Dy,Fe,1,3,3,1.08,0.65,orthorhombic,-2.782,-0.033,1,11.252,1.179,5.283,5.597,7.611,90,90,90,3.193,0.4814814815,0.8591347390999999,5.94,7.87,1.22,1.83,0.8554267402
1188,1188,1188,DyGaO3,Dy,Ga,0,3,3,1.08,0.62,orthorhombic,-2.972,0.017,0,11.058,4.078,5.263,5.558,7.56,90,90,90,4.452,0.4592592593,0.8722180093,5.94,5.999,1.22,1.81,0.8681310977
1189,1189,1189,DyGdO3,Dy,Gd,0,not balanced,not balanced,1.08,0.94,cubic,-2.789,1.032,0,16.035,1.31,4.312,4.312,4.312,90,90,90,0.097,0.6962962963,0.7503360167,5.94,6.15,1.22,1.2,0.7494123151000001
1193,1193,1193,DyHoO3,Dy,Ho,0,not balanced,not balanced,1.08,0.9,cubic,-2.956,0.906,0,15.202,1.781,4.236,4.236,4.236,90,90,90,1.312,0.6666666667,0.7636753237,5.94,6.018,1.22,1.23,0.7624455728
1194,1194,1194,DyInO3,Dy,In,0,not balanced,not balanced,1.08,0.8,cubic,-2.146,0.701,0,13.544,1.635,4.076,4.076,4.076,90,90,90,2.656,0.5925925926,0.7991951062,5.94,5.7860000000000005,1.22,1.78,0.7971021897
1199,1199,1199,DyLuO3,Dy,Lu,0,not balanced,not balanced,1.08,0.86,cubic,-3.148,0.758,0,14.264,2.163,4.147,4.147,4.147,90,90,90,4.616,0.637037037,0.7774975015000001,5.94,5.4259,1.22,1.27,0.7759401847
1201,1201,1201,DyMnO3,Dy,Mn,1,2,4,1.19,0.53,orthorhombic,-2.96,0.024,0.8,11.308,0.262,5.281,5.721,7.486,90,90,90,3.481,0.39259259259999996,0.9553463959,5.94,7.435,1.22,1.55,0.9489153178
1205,1205,1205,DyNdO3,Dy,Nd,0,not balanced,not balanced,1.08,0.98,cubic,-2.487,1.248,0,17.598,0.497,4.448,4.448,4.448,90,90,90,-1.117,0.7259259259,0.7374547117,5.94,5.53,1.22,1.14,0.7368171501
1213,1213,1213,DyPrO3,Dy,Pr,0,2,4,1.19,0.85,cubic,-2.403,1.31,0,18.062,0.321,4.487,4.487,4.487,90,90,90,-2.614,0.6296296296,0.8163869201,5.94,5.46,1.22,1.13,0.8139584726000001
1221,1221,1221,DyScO3,Dy,Sc,1,3,3,1.08,0.75,orthorhombic,-3.803,0.026,0,12.208,4.69,5.422,5.711,7.886,90,90,90,5.05,0.5555555556,0.8182235610999999,5.94,6.54,1.22,1.36,0.8156394498999999
1223,1223,1223,DySmO3,Dy,Sm,0,not balanced,not balanced,1.08,0.96,cubic,-2.635,1.141,0,16.805,0.893,4.38,4.38,4.38,90,90,90,-1.02,0.7111111111,0.7438396009999999,5.94,5.64,1.22,1.17,0.7430613632999999
1233,1233,1233,DyTmO3,Dy,Tm,0,not balanced,not balanced,1.08,0.96,cubic,-3.066,0.825,0,14.691,1.924,4.188,4.188,4.188,90,90,90,2.116,0.7111111111,0.7438396009999999,5.94,6.184,1.22,1.25,0.7430613632999999
1235,1235,1235,DyVO3,Dy,V,1,2,4,1.19,0.58,orthorhombic,-3.271,-0.03,0.4,11.416,1.112,5.296,5.659,7.618,90,90,90,3.989,0.4296296296,0.9305964892,5.94,6.74,1.22,1.63,0.9249528096999999
1237,1237,1237,DyYO3,Dy,Y,0,not balanced,not balanced,1.08,0.9,cubic,-2.881,0.948,-0.001,15.453,1.803,4.259,4.259,4.259,90,90,90,0.899,0.6666666667,0.7636753237,5.94,6.38,1.22,1.22,0.7624455728
1241,1241,1241,ErAcO3,Er,Ac,0,element not in BV,element not in BV,1.06,1.12,orthorhombic,-3.539,0.209,0,17.048,3.463,6.095,6.24,8.964,90,90,90,0.52,0.8296296296,0.6899300982,6.101,5.17,1.24,1.1,0.6902709054
1243,1243,1243,ErAlO3,Er,Al,1,3,3,1.06,0.54,orthorhombic,-3.602,-0.022,0,10.062,6.221,5.131,5.341,7.343,90,90,90,6.255,0.4,0.9016546787,6.101,5.986000000000001,1.24,1.61,0.8966405576
1246,1246,1246,ErBO3,Er,B,0,3,3,1.06,0.27,cubic,-2.53,0.812,0,8.096,3.096,3.434,3.434,3.434,90,90,90,5.502,0.2,1.0519304584,6.101,8.298,1.24,2.04,1.0416063962
1247,1247,1247,ErBaO3,Er,Ba,0,not balanced,not balanced,1.06,1.35,orthorhombic,-2.848,0.276,0.2,18.174,0.641,6.465,6.767,8.309,90,90,90,-8.217,1.0,0.6311582751,6.101,5.212000000000001,1.24,0.89,0.6325391570000001
1253,1253,1253,ErCoO3,Er,Co,0,3,3,1.06,0.61,orthorhombic,-2.551,0.024,0,10.601,1.392,5.144,5.549,7.428,90,90,90,2.225,0.4518518519,0.8694527258,6.101,7.86,1.24,1.88,0.8654142695
1254,1254,1254,ErCrO3,Er,Cr,1,3,3,1.06,0.62,orthorhombic,-3.217,-0.028,0.6,10.953,2.462,5.23,5.551,7.545,90,90,90,4.12,0.4592592593,0.8650392602,6.101,6.766,1.24,1.66,0.8611300405
1255,1255,1255,ErCsO3,Er,Cs,0,not balanced,not balanced,1.06,1.67,orthorhombic,-1.96,0.552,0,18.157,0.361,5.074,6.003,11.921,90,90,90,-,1.2370370370000001,0.564280577,6.101,3.8939999999999997,1.24,0.79,0.5666067367000001
1256,1256,1256,ErCuO3,Er,Cu,0,3,3,1.06,0.54,orthorhombic,-2.296,0.052,0,10.81,0.269,5.179,5.849,7.137,90,90,90,0.539,0.4,0.9016546787,6.101,7.726,1.24,1.9,0.8966405576
1257,1257,1257,ErDyO3,Er,Dy,0,3,3,1.06,0.91,cubic,-2.844,1.029,0,15.36,1.129,4.251,4.251,4.251,90,90,90,0.313,0.6740740741,0.7540386472,6.101,5.94,1.24,1.22,0.7530228059
1258,1258,1258,Er2O3,Er,Er,0,3,3,1.06,0.89,cubic,-2.947,0.949,0,14.923,1.559,4.21,4.21,4.21,90,90,90,1.088,0.6592592593,0.7607711351,6.101,6.101,1.24,1.24,0.7595994243
1260,1260,1260,ErFeO3,Er,Fe,1,3,3,1.06,0.65,orthorhombic,-2.795,-0.021,1,11.088,1.224,5.246,5.578,7.578,90,90,90,-,0.4814814815,0.8520636712999999,6.101,7.87,1.24,1.83,0.8485281374
1261,1261,1261,ErGaO3,Er,Ga,0,3,3,1.06,0.62,orthorhombic,-2.985,0.021,0,10.892,4.076,5.225,5.544,7.52,90,90,90,4.343,0.4592592593,0.8650392602,6.101,5.999,1.24,1.81,0.8611300405
1262,1262,1262,ErGdO3,Er,Gd,0,3,3,1.06,0.94,cubic,-2.729,1.116,0,16.005,0.817,4.309,4.309,4.309,90,90,90,-0.434,0.6962962963,0.7441604116,6.101,6.15,1.24,1.2,0.7433686674
1266,1266,1266,ErHoO3,Er,Ho,0,3,3,1.06,0.9,cubic,-2.897,0.988,0,15.123,1.411,4.229,4.229,4.229,90,90,90,0.759,0.6666666667,0.7573899301000001,6.101,6.018,1.24,1.23,0.7562968181
1267,1267,1267,ErInO3,Er,In,0,3,3,1.06,0.8,cubic,-2.095,0.775,0,13.618,1.406,4.083,4.083,4.083,90,90,90,2.577,0.5925925926,0.7926173687000001,6.101,5.7860000000000005,1.24,1.78,0.7906739462000001
1272,1272,1272,ErLuO3,Er,Lu,0,3,3,1.06,0.86,cubic,-3.092,0.837,0,14.189,0.987,4.14,4.14,4.14,90,90,90,2.182,0.637037037,0.7710983451000001,6.101,5.4259,1.24,1.27,0.7696826025
1274,1274,1274,ErMnO3,Er,Mn,0,3,3,1.06,0.65,orthorhombic,-2.971,0.036,0.8,11.143,0.273,5.243,5.699,7.457,90,90,90,3.37,0.4814814815,0.8520636712999999,6.101,7.435,1.24,1.55,0.8485281374
1289,1289,1289,ErRbO3,Er,Rb,0,not balanced,not balanced,1.06,1.52,orthorhombic,-2.146,0.371,0,17.854,1.316,6.105,6.145,9.519,90,90,90,-3.596,1.1259259259,0.5937725933,6.101,4.177,1.24,0.82,0.5957132472
1294,1294,1294,ErScO3,Er,Sc,0,3,3,1.06,0.75,cubic,-3.269,0.583,0,12.575,2.751,3.976,3.976,3.976,90,90,90,4.961,0.5555555556,0.8114892108,6.101,6.54,1.24,1.36,0.8090617123999999
1296,1296,1296,ErSmO3,Er,Sm,0,3,3,1.06,0.96,cubic,-2.573,1.226,0,16.759,0.533,4.376,4.376,4.376,90,90,90,-1.555,0.7111111111,0.7377174644,6.101,5.64,1.24,1.17,0.7370689329000001
1306,1306,1306,ErTmO3,Er,Tm,0,3,3,1.06,0.88,cubic,-3.008,0.906,0,14.6,1.701,4.179,4.179,4.179,90,90,90,2.033,0.6518518519,0.7641826649,6.101,6.184,1.24,1.25,0.7629310008
1308,1308,1308,ErVO3,Er,V,1,3,3,1.06,0.64,orthorhombic,-3.282,-0.018,0.4,11.251,1.138,5.263,5.637,7.585,90,90,90,3.881,0.47407407409999996,0.8563453983,6.101,6.74,1.24,1.63,0.8526875891
1310,1310,1310,ErYO3,Er,Y,0,3,3,1.06,0.9,cubic,-2.821,1.031,0,15.395,1.447,4.254,4.254,4.254,90,90,90,0.436,0.6666666667,0.7573899301000001,6.101,6.38,1.24,1.22,0.7562968181
1387,1387,1387,FeAcO3,Fe,Ac,0,element not in BV,element not in BV,0.85,1.12,orthorhombic,-2.546,0.185,1,15.314,1.947,5.802,5.819,9.072,90,90,90,-,0.8296296296,0.6298117079,7.87,5.17,1.83,1.1,0.6313453403
1398,1398,1398,FeCeO3,Fe,Ce,0,2,4,0.92,0.87,orthorhombic,-2.463,0.206,1,14.287,1.584,5.697,5.723,8.764,90,90,90,-6.169,0.6444444443999999,0.7230326095999999,7.87,5.54,1.83,1.12,0.7226818204000001
1401,1401,1401,FeCsO3,Fe,Cs,0,not balanced,not balanced,0.85,1.67,rhombohedral,-1.184,0.269,0.6,22.234,1.9,6.833,6.833,6.833,59.4,59.4,59.4,-,1.2370370370000001,0.5151109002,7.87,3.8939999999999997,1.83,0.79,0.5182378689
1408,1408,1408,FeGdO3,Fe,Gd,0,3,3,0.78,0.94,orthorhombic,-2.587,0.179,1,12.88,1.638,5.532,5.565,8.369,90,90,90,-5.837,0.6962962963,0.6577019406,7.87,6.15,1.83,1.2,0.6587575996
1415,1415,1415,FeKO3,Fe,K,0,not balanced,not balanced,0.85,1.38,orthorhombic,-1.295,0.15,0.6,15.828,0.552,5.401,5.856,10.009,90,90,90,-,1.0222222222,0.5698296405,7.87,4.341,1.83,0.82,0.5722986538
1416,1416,1416,FeLaO3,Fe,La,0,3,3,0.78,1.03,orthorhombic,-2.577,0.178,1,14.207,1.742,5.688,5.694,8.774,90,90,90,-6.303,0.762962963,0.6328308588,7.87,5.58,1.83,1.1,0.63435917
1422,1422,1422,FeNaO3,Fe,Na,0,not balanced,not balanced,0.85,1.02,orthorhombic,-1.22,0.262,0.6,12.519,0.614,5.286,5.41,8.756,90,90,90,-,0.7555555556,0.6563860415999999,7.87,5.138999999999999,1.83,0.93,0.6574339908
1424,1424,1424,FeNdO3,Fe,Nd,0,not balanced,not balanced,0.85,0.98,orthorhombic,-2.506,0.2,1,13.723,1.722,5.644,5.648,8.61,90,90,90,-,0.7259259259,0.6676544715,7.87,5.53,1.83,1.14,0.6684833015
1432,1432,1432,FePrO3,Fe,Pr,0,not balanced,not balanced,0.85,0.92,orthorhombic,-2.487,0.204,1,13.986,1.676,5.669,5.684,8.681,90,90,90,-,0.6814814815000001,0.6853017263,7.87,5.46,1.83,1.13,0.6857716628
1435,1435,1435,FeRbO3,Fe,Rb,0,not balanced,not balanced,0.85,1.52,orthorhombic,-1.304,0.106,0.6,17.168,0.505,5.491,6.01,10.406,90,90,90,-,1.1259259259,0.5420330727,7.87,4.177,1.83,0.82,0.5448596773
1442,1442,1442,FeSmO3,Fe,Sm,0,not balanced,not balanced,0.85,0.96,orthorhombic,-2.544,0.19,1,13.318,1.655,5.591,5.605,8.499,90,90,90,-,0.7111111111,0.6734350297,7.87,5.64,1.83,1.17,0.6741484143
1451,1451,1451,FeTlO3,Fe,Tl,0,3,3,0.78,0.89,orthorhombic,-1.146,0.148,1,12.604,0.664,5.458,5.471,8.441,90,90,90,-5.325,0.6592592593,0.6723827875,7.87,6.108,1.83,1.62,0.6731409533
1460,1460,1460,GaAcO3,Ga,Ac,0,element not in BV,element not in BV,0.62,1.12,orthorhombic,-2.856,0.057,0,15.888,2.996,4.54,6.777,10.328,90,90,90,-2.981,0.8296296296,0.5639677567,5.999,5.17,1.81,1.1,0.5668078167
1468,1468,1468,GaBiO3,Ga,Bi,0,1,5,0.62,0.76,orthorhombic,-1.645,0.153,-,15.009,1.6,5.373,6.159,9.071,90,90,90,-1.408,0.5629629629999999,0.6601897436,5.999,7.289,1.81,2.02,0.6612757861
1471,1471,1471,GaCeO3,Ga,Ce,0,not balanced,not balanced,0.62,0.94,rhombohedral,-2.702,0.151,0,15.64,3.276,6.35,6.35,6.35,54.2,54.2,54.2,-4.648,0.6962962963,0.6082970999999999,5.999,5.54,1.81,1.12,0.6104084179
1481,1481,1481,GaGdO3,Ga,Gd,0,not balanced,not balanced,0.62,0.94,rhombohedral,-2.822,0.176,0,13.7,3.228,5.996,5.996,5.996,55.6,55.6,55.6,-4.671,0.6962962963,0.6082970999999999,5.999,6.15,1.81,1.2,0.6104084179
1488,1488,1488,GaKO3,Ga,K,0,not balanced,not balanced,0.62,1.38,orthorhombic,-1.386,0.257,-,15.222,1.887,5.73,6.759,7.86,90,90,90,-14.002,1.0222222222,0.5102565417,5.999,4.341,1.81,0.82,0.5137970137
1489,1489,1489,GaLaO3,Ga,La,0,not balanced,not balanced,0.62,1.03,rhombohedral,-2.807,0.128,0,15.84,3.337,6.404,6.404,6.404,53.7,53.7,53.7,-4.204,0.762962963,0.5852942685,5.999,5.58,1.81,1.1,0.5878006988000001
1495,1495,1495,GaNaO3,Ga,Na,0,not balanced,not balanced,0.62,1.02,orthorhombic,-1.39,0.326,-,12.016,1.633,5.574,6.025,7.156,90,90,90,-10.839,0.7555555556,0.5877638645000001,5.999,5.138999999999999,1.81,0.93,0.5902296273
1496,1496,1496,GaNbO3,Ga,Nb,0,1,5,0.62,0.64,tetragonal,-2.186,0.159,0,13.115,0.296,3.963,3.963,4.175,90,90,90,4.928,0.47407407409999996,0.7000001804000001,5.999,6.88,1.81,1.6,0.7001743618
1497,1497,1497,GaNdO3,Ga,Nd,0,not balanced,not balanced,0.62,0.98,rhombohedral,-2.749,0.143,0,14.98,3.279,6.254,6.254,6.254,54.3,54.3,54.3,-4.496,0.7259259259,0.5978542313,5.999,5.53,1.81,1.14,0.6001494529
1499,1499,1499,GaNpO3,Ga,Np,0,element not in BV,element not in BV,0.62,0.86,rhombohedral,-2.695,0.231,0.8,14.96,0.549,6.146,6.146,6.146,56.2,56.2,56.2,1.275,0.637037037,0.6303169045,5.999,6.19,1.81,1.36,0.6320157956
1501,1501,1501,GaPaO3,Ga,Pa,0,element not in BV,element not in BV,0.62,0.91,orthorhombic,-2.435,0.125,0,15.708,2.72,6.024,6.07,8.592,90,90,90,5.587,0.6740740741,0.6163718402,5.999,5.89,1.81,1.5,0.6183358
1505,1505,1505,GaPrO3,Ga,Pr,0,not balanced,not balanced,0.62,0.92,rhombohedral,-2.728,0.147,0,15.29,3.177,6.299,6.299,6.299,54.2,54.2,54.2,-4.886,0.6814814815000001,0.6136565458,5.999,5.46,1.81,1.13,0.6156705595
1507,1507,1507,GaPuO3,Ga,Pu,0,element not in BV,element not in BV,0.62,0.83,orthorhombic,-2.799,0.096,1,15.101,1.347,5.363,6.069,9.28,90,90,90,0.763,0.6148148148,0.6389909903000001,5.999,6.06,1.81,1.28,0.6405182502000001
1508,1508,1508,GaRbO3,Ga,Rb,0,not balanced,not balanced,0.62,1.52,orthorhombic,-1.371,0.254,-,16.763,1.967,5.779,7.022,8.261,90,90,90,-13.296,1.1259259259,0.4853659787,5.999,4.177,1.81,0.82,0.48916291030000003
1515,1515,1515,GaSmO3,Ga,Sm,0,not balanced,not balanced,0.62,0.96,rhombohedral,-2.776,0.151,0,14.206,3.133,6.069,6.069,6.069,55.6,55.6,55.6,-4.673,0.7111111111,0.6030304584,5.999,5.64,1.81,1.17,0.6052354653
1518,1518,1518,GaTaO3,Ga,Ta,0,1,5,0.62,0.64,tetragonal,-2.396,0.146,0,12.719,0.989,3.966,3.966,4.044,90,90,90,5.757,0.47407407409999996,0.7000001804000001,5.999,7.89,1.81,1.5,0.7001743618
1524,1524,1524,GaTlO3,Ga,Tl,0,not balanced,not balanced,0.62,1.2,orthorhombic,-1.377,0.142,-,12.615,0.216,5.393,5.52,8.475,90,90,90,-5.618,0.8888888889,0.5462746506,5.999,6.108,1.81,1.62,0.5493675762
1526,1526,1526,GaUO3,Ga,U,0,1,5,0.62,0.76,tetragonal,-2.623,0.369,0.2,16.167,2.492,4.308,4.332,4.332,90,90,90,4.188,0.5629629629999999,0.6601897436,5.999,6.05,1.81,1.38,0.6612757861
1529,1529,1529,GaYO3,Ga,Y,0,not balanced,not balanced,0.62,0.9,rhombohedral,-2.835,0.134,0,13.399,3.344,5.952,5.952,5.952,55.6,55.6,55.6,-5.202,0.6666666667,0.6191112706,5.999,6.38,1.81,1.22,0.6210242165
1535,1535,1535,GdAlO3,Gd,Al,1,3,3,1.11,0.54,orthorhombic,-3.569,-0.041,0,10.339,5.604,5.221,5.333,7.428,90,90,90,6.35,0.4,0.9203612073,6.15,5.986000000000001,1.2,1.61,0.9148649592
1538,1538,1538,GdBO3,Gd,B,0,not balanced,not balanced,1.11,0.27,cubic,-2.513,0.779,0,8.405,2.803,3.477,3.477,3.477,90,90,90,5.367,0.2,1.0737547418,6.15,8.298,1.2,2.04,1.062777258
1539,1539,1539,GdBaO3,Gd,Ba,0,not balanced,not balanced,1.11,1.35,orthorhombic,-2.809,0.268,0.201,18.822,0.619,6.507,6.793,8.517,90,90,90,-6.988,1.0,0.6442528451,6.15,5.212000000000001,1.2,0.89,0.6453956439
1544,1544,1544,GdCeO3,Gd,Ce,0,3,3,1.11,1.01,cubic,-2.371,1.285,0,18.68,0.432,4.537,4.537,4.537,90,90,90,-2.684,0.7481481481000001,0.7370689329000001,6.15,5.54,1.2,1.12,0.7364473115000001
1546,1546,1546,GdCrO3,Gd,Cr,1,3,3,1.11,0.62,orthorhombic,-3.185,-0.048,0.6,11.301,2.406,5.307,5.585,7.625,90,90,90,4.365,0.4592592593,0.8829861329,6.15,6.766,1.2,1.66,0.8786326836
1549,1549,1549,GdDyO3,Gd,Dy,0,3,3,1.11,0.91,cubic,-2.964,0.858,0,15.526,1.71,4.266,4.266,4.266,90,90,90,1.644,0.6740740741,0.7696826025,6.15,5.94,1.2,1.22,0.7683281475
1550,1550,1550,GdErO3,Gd,Er,0,3,3,1.11,0.89,cubic,-3.062,0.783,0,15.015,1.779,4.219,4.219,4.219,90,90,90,4.376,0.6592592593,0.7765547686,6.15,6.101,1.2,1.24,0.7750384370000001
1552,1552,1552,GdFeO3,Gd,Fe,1,3,3,1.11,0.65,orthorhombic,-2.766,-0.023,1,11.439,1.164,5.33,5.614,7.646,90,90,90,3.384,0.4814814815,0.8697413409,6.15,7.87,1.2,1.83,0.8657746443000001
1553,1553,1553,GdGaO3,Gd,Ga,1,3,3,1.11,0.62,orthorhombic,-2.954,0.045,0,11.244,4.008,5.305,5.571,7.608,90,90,90,4.584,0.4592592593,0.8829861329,6.15,5.999,1.2,1.81,0.8786326836
1554,1554,1554,Gd2O3,Gd,Gd,0,3,3,1.11,0.94,cubic,-2.85,0.943,0,16.115,1.454,4.319,4.319,4.319,90,90,90,0.68,0.6962962963,0.7595994243,6.15,6.15,1.2,1.2,0.7584777867
1558,1558,1558,GdHoO3,Gd,Ho,0,3,3,1.11,0.9,cubic,-3.015,0.818,0,15.277,1.648,4.243,4.243,4.243,90,90,90,1.857,0.6666666667,0.7731034140999999,6.15,6.018,1.2,1.23,0.7716687047
1559,1559,1559,GdInO3,Gd,In,0,3,3,1.11,0.8,cubic,-2.182,0.636,0,13.283,1.499,4.05,4.05,4.05,90,90,90,2.787,0.5925925926,0.8090617123999999,6.15,5.7860000000000005,1.2,1.78,0.8067445549
1562,1562,1562,GdLaO3,Gd,La,0,3,3,1.11,1.03,cubic,-2.493,1.259,0,18.403,0.402,4.515,4.515,4.515,90,90,90,-2.66,0.762962963,0.7308750764,6.15,5.58,1.2,1.1,0.7303860168
1564,1564,1564,GdLuO3,Gd,Lu,0,3,3,1.11,0.86,cubic,-3.203,0.674,0,14.345,1.993,4.155,4.155,4.155,90,90,90,4.72,0.637037037,0.7870962361,6.15,5.4259,1.2,1.27,0.7853265579
1566,1566,1566,GdMnO3,Gd,Mn,1,3,3,1.11,0.65,orthorhombic,-2.944,0.002,0.8,11.491,0.23,5.319,5.74,7.527,90,90,90,3.6,0.4814814815,0.8697413409,6.15,7.435,1.2,1.55,0.8657746443000001
1570,1570,1570,GdNdO3,Gd,Nd,0,3,3,1.11,0.98,cubic,-2.551,1.155,0,17.658,0.78,4.453,4.453,4.453,90,90,90,-1.457,0.7259259259,0.7465590909,6.15,5.53,1.2,1.14,0.7457302607999999
1578,1578,1578,GdPrO3,Gd,Pr,0,3,3,1.11,0.99,cubic,-2.468,1.217,0,18.13,0.601,4.492,4.492,4.492,90,90,90,-2.045,0.7333333333,0.7433686674,6.15,5.46,1.2,1.13,0.7426100505
1583,1583,1583,GdRhO3,Gd,Rh,1,3,3,1.11,0.67,orthorhombic,-2.408,-0.044,0,11.717,0.966,5.291,5.787,7.654,90,90,90,0.071,0.49629629630000005,0.8611300405,6.15,7.46,1.2,2.28,0.8574096719
1586,1586,1586,GdScO3,Gd,Sc,1,3,3,1.11,0.75,orthorhombic,-3.789,0.011,0,12.399,4.618,5.462,5.744,7.903,90,90,90,5.136,0.5555555556,0.8283250865,6.15,6.54,1.2,1.36,0.8255060562000001
1588,1588,1588,GdSmO3,Gd,Sm,0,3,3,1.11,0.96,cubic,-2.697,1.05,0,16.867,1.343,4.385,4.385,4.385,90,90,90,-0.462,0.7111111111,0.7530228059,6.15,5.64,1.2,1.17,0.7520500088
1597,1597,1597,GdTlO3,Gd,Tl,0,3,3,1.11,0.89,orthorhombic,-2.271,0.094,0.001,14.239,1.12,5.626,5.984,8.458,90,90,90,0.686,0.6592592593,0.7765547686,6.15,6.108,1.2,1.62,0.7750384370000001
1598,1598,1598,GdTmO3,Gd,Tm,0,3,3,1.11,0.88,cubic,-3.122,0.74,0,14.761,1.964,4.195,4.195,4.195,90,90,90,4.498,0.6518518519,0.780037077,6.15,6.184,1.2,1.25,0.7784377284
1600,1600,1600,GdVO3,Gd,V,1,3,3,1.11,0.64,orthorhombic,-3.255,-0.044,0.4,11.626,1.258,5.336,5.697,7.649,90,90,90,4.106,0.47407407409999996,0.8741119004000001,6.15,6.74,1.2,1.63,0.8700186376000001
1602,1602,1602,GdYO3,Gd,Y,0,3,3,1.11,0.9,cubic,-2.94,0.86,0,15.525,1.911,4.266,4.266,4.266,90,90,90,1.453,0.6666666667,0.7731034140999999,6.15,6.38,1.2,1.22,0.7716687047
1612,1612,1612,GeBaO3,Ge,Ba,0,not balanced,not balanced,0.63,1.35,orthorhombic,-2.394,0.131,-,17.277,3.093,5.186,6.053,11.006,90,90,90,-7.41,1.0,0.5185449729,7.899,5.212000000000001,2.01,0.89,0.5219733693999999
1616,1616,1616,GeCdO3,Ge,Cd,0,not balanced,not balanced,0.63,0.95,orthorhombic,-1.519,0.182,-,12.236,0.642,5.348,5.363,8.532,90,90,90,-,0.7037037037,0.6087267073,7.899,8.993,2.01,1.69,0.6108199003
1620,1620,1620,GeCsO3,Ge,Cs,0,not balanced,not balanced,0.63,1.67,orthorhombic,-1.547,0.071,-,18.264,0.489,5.682,6.742,9.536,90,90,90,-2.225,1.2370370370000001,0.4635998102,7.899,3.8939999999999997,2.01,0.79,0.4675657218
1628,1628,1628,Ge2O3,Ge,Ge,0,not balanced,not balanced,0.63,0.63,tetragonal,-1.472,0.228,-,11.35,0.237,3.572,3.572,4.448,90,90,90,3.616,0.4666666667,0.7071067812,7.899,7.899,2.01,2.01,0.7071067812
1629,1629,1629,GeHfO3,Ge,Hf,0,2,4,0.73,0.71,orthorhombic,-2.66,0.218,0,12.262,2.728,5.421,5.756,7.86,90,90,90,4.589,0.5259259259000001,0.7139718956000001,7.899,6.65,2.01,1.3,0.7138092151000001
1634,1634,1634,GeKO3,Ge,K,0,not balanced,not balanced,0.63,1.38,orthorhombic,-1.601,0.134,-,15.298,0.406,5.311,6.198,9.294,90,90,90,-4.575,1.0222222222,0.5128466764999999,7.899,4.341,2.01,0.82,0.5163405632
1641,1641,1641,GeNaO3,Ge,Na,0,not balanced,not balanced,0.63,1.02,orthorhombic,-1.604,0.211,-,12.24,0.38,5.082,5.579,8.635,90,90,90,-10.571,0.7555555556,0.5907474374,7.899,5.138999999999999,2.01,0.93,0.5931515561
1647,1647,1647,GePaO3,Ge,Pa,0,element not in BV,element not in BV,0.63,0.91,rhombohedral,-2.186,0.403,0.2,15.362,0.845,5.963,5.963,5.963,61.1,61.1,61.1,-,0.6740740741,0.6195006313,7.899,5.89,2.01,1.5,0.6213968683
1648,1648,1648,GePbO3,Ge,Pb,0,2,4,0.73,0.78,rhombohedral,-1.481,0.28,-,15.853,1.688,6.153,6.153,6.153,58.4,58.4,58.4,0.674,0.5777777778000001,0.6905080305,7.899,7.416,2.01,2.33,0.6908887357
1654,1654,1654,GeRbO3,Ge,Rb,0,not balanced,not balanced,0.63,1.52,orthorhombic,-1.571,0.137,-,16.626,0.373,5.43,6.452,9.491,90,90,90,-3.709,1.1259259259,0.4878297654,7.899,4.177,2.01,0.82,0.49158450880000004
1660,1660,1660,GeSiO3,Ge,Si,0,2,4,0.73,0.4,tetragonal,-2.029,0.382,-,10.11,2.063,3.419,3.419,4.324,90,90,90,5.488,0.2962962963,0.8404469171,7.899,8.151,2.01,1.9,0.8367430243999999
1662,1662,1662,GeSnO3,Ge,Sn,0,2,4,0.73,0.69,orthorhombic,-1.525,0.245,-,12.262,1.097,5.274,5.879,7.909,90,90,90,2.94,0.5111111111,0.72097162,7.899,7.343999999999999,2.01,1.96,0.7206399253
1663,1663,1663,GeSrO3,Ge,Sr,0,not balanced,not balanced,0.63,1.18,orthorhombic,-2.429,0.148,-,14.471,2.864,5.208,5.272,10.54,90,90,90,-7.686,0.8740740740999999,0.5533879157,7.899,5.695,2.01,0.95,0.5563669635
