,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],Octahedral Factor,Tolerance Factor,A Ionization Energy,B Ionization Energy,A Electronegativity,B Electronegativity,Goldschmidt Tolerance Factor,A rs,A rp,A rd,B rs,B rp,B rd,B EA,B s total,B p total,B d total,B f total
1126,1126,1126,1126,1126,CuLuO3,Cu,Lu,0,not balanced,not balanced,0.68,0.86,cubic,-1.336,0.991,-0.005,15.015,0,4.219,4.219,4.219,90,90,90,-3.845,0.637037037,0.6495143737,7.726,5.4259,1.9,1.27,0.6495143737,0.88,1.16,0.185,,,,0.34,12,24,20,14
1127,1127,1127,1127,1127,CuMgO3,Cu,Mg,0,not balanced,not balanced,0.68,0.72,cubic,-0.519,0.999,-,11.107,0,3.815,3.815,3.815,90,90,90,-4.654,0.5333333333,0.693442882,7.726,7.646,1.9,1.31,0.693442882,0.88,1.16,0.185,0.9,1.13,,,6,6,0,0
1128,1128,1128,1128,1128,CuMnO3,Cu,Mn,0,2,4,0.73,0.53,cubic,-0.835,0.558,0.4,10.248,0,3.714,3.714,3.714,90,90,90,-1.681,0.39259259259999996,0.7823309068000001,7.726,7.435,1.9,1.55,0.7823309068000001,0.88,1.16,0.185,0.99,1.23,0.23,,8,12,5,0
1129,1129,1129,1129,1129,CuMoO3,Cu,Mo,0,1,5,0.77,0.61,rhombohedral,-1.645,0.089,0,10.565,0,5.484,5.484,5.484,55.9,55.9,55.9,3.985,0.4518518519,0.7648297837000001,7.726,7.099,1.9,2.16,0.7648297837000001,0.88,1.16,0.185,1.22,1.5,0.49,0.748,9,18,15,0
1130,1130,1130,1130,1130,CuNaO3,Cu,Na,0,not balanced,not balanced,0.68,1.02,cubic,0.744,1.752,-,12.732,0,3.993,3.993,3.993,90,90,90,-11.78,0.7555555556,0.605665302,7.726,5.138999999999999,1.9,0.93,0.605665302,0.88,1.16,0.185,1.1,1.55,,0.547926,5,6,0,0
1131,1131,1131,1131,1131,CuNbO3,Cu,Nb,0,1,5,0.77,0.64,rhombohedral,-2.121,0.066,0,11.121,0.787,5.59,5.59,5.59,55.7,55.7,55.7,4.362,0.47407407409999996,0.7532996865,7.726,6.88,1.9,1.6,0.7532996865,0.88,1.16,0.185,1.23,1.53,0.51,0.893,9,18,14,0
1132,1132,1132,1132,1132,CuNdO3,Cu,Nd,0,not balanced,not balanced,0.68,0.98,rhombohedral,-1.961,0.298,0.4,14.573,0.356,6.164,6.164,6.164,54.8,54.8,54.8,-3.862,0.7259259259,0.6160629896,7.726,5.53,1.9,1.14,0.6160629896,0.88,1.16,0.185,,,,,12,24,20,3
1133,1133,1133,1133,1133,CuNiO3,Cu,Ni,0,2,4,0.73,0.48,cubic,-0.121,0.698,0.558,9.833,0,3.663,3.663,3.663,90,90,90,-2.679,0.3555555556,0.8037060681999999,7.726,7.635,1.9,1.91,0.8037060681999999,0.88,1.16,0.185,0.96,1.22,0.195,1.156,8,12,8,0
1134,1134,1134,1134,1134,CuNpO3,Cu,Np,0,element not in BV,element not in BV,0.68,0.86,cubic,-1.931,0.618,0.389,15.268,0,4.242,4.242,4.242,90,90,90,2.687,0.637037037,0.6495143737,7.726,6.19,1.9,1.36,0.6495143737,0.88,1.16,0.185,,,,,14,30,31,17
1135,1135,1135,1135,1135,CuOsO3,Cu,Os,0,element not in BV,element not in BV,0.68,0.57,rhombohedral,-1,0.045,0.001,10.191,0,5.277,5.277,5.277,59.1,59.1,59.1,2.299,0.4222222222,0.7476181072,7.726,8.7,1.9,2.2,0.7476181072,0.88,1.16,0.185,1.17,1.48,0.5429999999999999,1.1,12,24,25,14
1136,1136,1136,1136,1136,CuPaO3,Cu,Pa,0,element not in BV,element not in BV,0.68,0.91,rhombohedral,-2.425,-0.243,0,13.659,2.633,5.994,5.994,5.994,55.6,55.6,55.6,4.128,0.6740740741,0.6351445866,7.726,5.89,1.9,1.5,0.6351445866,0.88,1.16,0.185,,,,,14,30,32,14
1137,1137,1137,1137,1137,CuPbO3,Cu,Pb,0,not balanced,not balanced,0.68,0.99,rhombohedral,-0.827,0.164,-,12.845,0,5.834,5.834,5.834,56.3,56.3,56.3,-2.508,0.7333333333,0.6134302417999999,7.726,7.416,1.9,2.33,0.6134302417999999,0.88,1.16,0.185,0.96,1.13,0.45,0.364,12,25,30,14
1138,1138,1138,1138,1138,CuPdO3,Cu,Pd,0,not balanced,not balanced,0.68,0.75,cubic,0.086,0.699,-,11.833,0,3.897,3.897,3.897,90,90,90,-2.63,0.5555555556,0.6835365551,7.726,8.34,1.9,2.2,0.6835365551,0.88,1.16,0.185,1.08,1.37,0.4,0.562,8,18,20,0
1139,1139,1139,1139,1139,CuPmO3,Cu,Pm,0,element not in BV,element not in BV,0.68,0.97,rhombohedral,-1.98,0.224,0.4,14.195,0.366,6.115,6.115,6.115,54.8,54.8,54.8,-3.828,0.7185185184999999,0.6187184335,7.726,5.553999999999999,1.9,1.13,0.6187184335,0.88,1.16,0.185,,,,,12,24,20,4
1140,1140,1140,1140,1140,CuPrO3,Cu,Pr,0,not balanced,not balanced,0.68,0.92,rhombohedral,-1.938,0.234,0.4,14.773,0.342,6.179,6.179,6.179,55.1,55.1,55.1,-3.905,0.6814814815000001,0.6323465929,7.726,5.46,1.9,1.13,0.6323465929,0.88,1.16,0.185,,,,0.962,12,24,21,1
1141,1141,1141,1141,1141,CuPtO3,Cu,Pt,0,element not in BV,element not in BV,0.68,0.67,cubic,-0.034,0.733,0.318,11.993,0,3.914,3.914,3.914,90,90,90,-0.639,0.4962962963000001,0.7106073098000001,7.726,9.0,1.9,2.28,0.7106073098000001,0.88,1.16,0.185,1.24,1.46,0.51,2.128,12,24,27,14
1142,1142,1142,1142,1142,CuPuO3,Cu,Pu,0,element not in BV,element not in BV,0.68,0.83,cubic,-1.756,0.523,0.601,15.125,0.801,4.229,4.229,4.229,90,90,90,0.726,0.6148148148,0.6584526449,7.726,6.06,1.9,1.28,0.6584526449,0.88,1.16,0.185,,,,,14,30,31,18
1143,1143,1143,1143,1143,CuRbO3,Cu,Rb,0,not balanced,not balanced,0.68,1.52,cubic,1.095,2.094,-,15.595,0,4.272,4.272,4.272,90,90,90,-14.336,1.1259259259,0.5001486989,7.726,4.177,1.9,0.82,0.5001486989,0.88,1.16,0.185,1.67,2.43,0.71,0.48592,9,18,10,0
1144,1144,1144,1144,1144,CuReO3,Cu,Re,0,1,5,0.77,0.58,rhombohedral,-1.324,0.196,0,10.363,0,5.38,5.38,5.38,57.4,57.4,57.4,3.638,0.4296296296,0.7767183296,7.726,7.88,1.9,1.9,0.7767183296,0.88,1.16,0.185,1.19,1.49,0.565,0.15,12,24,24,14
1145,1145,1145,1145,1145,CuRhO3,Cu,Rh,0,2,4,0.73,0.6,cubic,-0.302,0.643,0.453,11.424,0,3.851,3.851,3.851,90,90,90,-0.321,0.44444444439999997,0.7542472333,7.726,7.46,1.9,2.28,0.7542472333,0.88,1.16,0.185,1.11,1.41,0.42,1.137,9,18,18,0
1146,1146,1146,1146,1146,CuRuO3,Cu,Ru,0,1,5,0.77,0.57,orthorhombic,-0.955,0.128,0.199,9.792,0,5.109,5.125,7.479,90,90,90,1.467,0.4222222222,0.7807637376000001,7.726,7.37,1.9,2.2,0.7807637376000001,0.88,1.16,0.185,1.145,1.46,0.45,1.05,9,18,17,0
1147,1147,1147,1147,1147,CuSbO3,Cu,Sb,0,1,5,0.77,0.6,rhombohedral,-1.305,0.03,-,11.001,0,5.447,5.447,5.447,58.4,58.4,58.4,2.079,0.44444444439999997,0.7687519878,7.726,8.641,1.9,2.05,0.7687519878,0.88,1.16,0.185,0.83,0.935,0.335,1.046,10,21,20,0
1148,1148,1148,1148,1148,CuScO3,Cu,Sc,0,not balanced,not balanced,0.68,0.75,cubic,-1.431,0.806,0.339,13.325,0,4.054,4.054,4.054,90,90,90,-3.057,0.5555555556,0.6835365551,7.726,6.54,1.9,1.36,0.6835365551,0.88,1.16,0.185,1.22,1.53,0.31,0.188,8,12,1,0
1149,1149,1149,1149,1149,CuSiO3,Cu,Si,0,not balanced,not balanced,0.68,0.4,cubic,-1.607,0.559,-,8.578,0,3.5,3.5,3.5,90,90,90,0.45,0.2962962963,0.8202438662,7.726,8.151,1.9,1.9,0.8202438662,0.88,1.16,0.185,0.68,0.74,,1.389522,6,8,0,0
1150,1150,1150,1150,1150,CuSmO3,Cu,Sm,0,not balanced,not balanced,0.68,0.96,rhombohedral,-1.991,0.274,0.399,14.041,0.368,6.098,6.098,6.098,54.7,54.7,54.7,-3.935,0.7111111111,0.6213968683,7.726,5.64,1.9,1.17,0.6213968683,0.88,1.16,0.185,,,,,12,24,20,5
1151,1151,1151,1151,1151,CuSnO3,Cu,Sn,0,not balanced,not balanced,0.68,0.69,cubic,-0.828,0.666,-,12.973,0,4.018,4.018,4.018,90,90,90,-1.033,0.5111111111,0.7036405715,7.726,7.3439999999999985,1.9,1.96,0.7036405715,0.88,1.16,0.185,0.88,1.0,0.345,1.112067,10,20,20,0
1152,1152,1152,1152,1152,CuSrO3,Cu,Sr,0,not balanced,not balanced,0.68,1.18,orthorhombic,-1.409,0.209,-,13.148,0,5.85,6.267,7.173,90,90,90,-8.824,0.8740740740999999,0.567362358,7.726,5.695,1.9,0.95,0.567362358,0.88,1.16,0.185,1.42,1.79,0.633,0.048,10,18,10,0
1153,1153,1153,1153,1153,CuTaO3,Cu,Ta,0,1,5,0.77,0.64,orthorhombic,-2.32,0.077,0,10.912,1.36,5.233,5.456,7.643,90,90,90,5.237,0.47407407409999996,0.7532996865,7.726,7.89,1.9,1.5,0.7532996865,0.88,1.16,0.185,1.25,1.54,0.605,0.322,12,24,22,14
1154,1154,1154,1154,1154,CuTbO3,Cu,Tb,0,not balanced,not balanced,0.68,0.84,rhombohedral,-1.918,0.224,0.399,13.473,0.366,6.037,6.037,6.037,54.3,54.3,54.3,-3.729,0.6222222222,0.6554460118,7.726,5.86,1.9,1.1,0.6554460118,0.88,1.16,0.185,,,,,12,24,21,7
1155,1155,1155,1155,1155,CuTcO3,Cu,Tc,0,element not in BV,element not in BV,0.68,0.6,rhombohedral,-1.295,0.056,0,10.239,0,5.382,5.382,5.382,56.9,56.9,56.9,2.996,0.44444444439999997,0.7361162901999999,7.726,7.28,1.9,1.9,0.7361162901999999,0.88,1.16,0.185,1.16,1.49,0.455,0.55,10,18,15,0
1156,1156,1156,1156,1156,CuTeO3,Cu,Te,0,2,4,0.73,0.97,rhombohedral,-0.951,0.151,-,11.749,0,5.602,5.602,5.602,57.6,57.6,57.6,1.048,0.7185185184999999,0.6339578038,7.726,9.009,1.9,2.1,0.6339578038,0.88,1.16,0.185,0.79,0.88,0.325,1.9708,10,22,20,0
1157,1157,1157,1157,1157,CuThO3,Cu,Th,0,not balanced,not balanced,0.68,0.94,cubic,-1.922,0.943,-0.029,17.768,0,4.462,4.462,4.462,90,90,90,-1.294,0.6962962963,0.6268239152,7.726,6.08,1.9,1.3,0.6268239152,0.88,1.16,0.185,,,,,14,30,31,14
1158,1158,1158,1158,1158,CuTiO3,Cu,Ti,0,2,4,0.73,0.61,orthorhombic,-2.142,0.126,0.2,9.718,0.653,4.937,5.24,7.512,90,90,90,-0.66,0.4518518519,0.7503990331,7.726,6.82,1.9,1.54,0.7503990331,0.88,1.16,0.185,1.15,1.43,0.28,0.079,8,12,2,0
1159,1159,1159,1159,1159,CuTlO3,Cu,Tl,0,not balanced,not balanced,0.68,1.2,rhombohedral,-0.494,0.297,-,13.088,0,5.863,5.863,5.863,56.5,56.5,56.5,-4.277,0.8888888889,0.5629124571999999,7.726,6.108,1.9,1.62,0.5629124571999999,0.88,1.16,0.185,1.015,1.22,0.46299999999999997,0.2,12,24,30,14
1160,1160,1160,1160,1160,CuTmO3,Cu,Tm,0,not balanced,not balanced,0.68,0.96,rhombohedral,-2.098,0.212,0.4,12.846,0.384,5.95,5.95,5.95,54.1,54.1,54.1,-4.013,0.7111111111,0.6213968683,7.726,6.184,1.9,1.25,0.6213968683,0.88,1.16,0.185,,,,,12,24,20,12
1161,1161,1161,1161,1161,CuUO3,Cu,U,0,1,5,0.77,0.76,rhombohedral,-2.609,0.011,0.2,13.29,1.769,5.912,5.912,5.912,56.1,56.1,56.1,3.288,0.5629629629999999,0.7104579981999999,7.726,6.05,1.9,1.38,0.7104579981999999,0.88,1.16,0.185,,,,,14,30,31,16
1162,1162,1162,1162,1162,CuVO3,Cu,V,0,1,5,0.77,0.54,orthorhombic,-1.737,0.111,0,9.48,0.343,4.949,5.134,7.463,90,90,90,1.779,0.4,0.7931568128,7.726,6.74,1.9,1.63,0.7931568128,0.88,1.16,0.185,1.09,1.34,0.26,0.525,8,12,3,0
1163,1163,1163,1163,1163,CuWO3,Cu,W,0,1,5,0.77,0.62,rhombohedral,-1.739,0.217,-0.001,10.669,0,5.5,5.5,5.5,56,56,56,4.639,0.4592592593,0.7609473990000001,7.726,7.98,1.9,2.36,0.7609473990000001,0.88,1.16,0.185,1.22,1.515,0.59,0.815,12,24,23,14
1164,1164,1164,1164,1164,CuYO3,Cu,Y,0,not balanced,not balanced,0.68,0.9,rhombohedral,-2.041,0.266,0.401,13.364,0.37,6.027,6.027,6.027,54.1,54.1,54.1,-4.218,0.6666666667,0.6379674515,7.726,6.38,1.9,1.22,0.6379674515,0.88,1.16,0.185,1.32,1.62,0.58,0.307,10,18,11,0
1165,1165,1165,1165,1165,CuYbO3,Cu,Yb,0,not balanced,not balanced,0.68,0.95,orthorhombic,-1.595,0.275,-,11.075,0,5.663,5.665,6.903,90,90,90,-6.856,0.7037037037,0.6240985938,7.726,6.254,1.9,1.1,0.6240985938,0.88,1.16,0.185,,,,-0.02,12,24,20,13
1166,1166,1166,1166,1166,CuZnO3,Cu,Zn,0,not balanced,not balanced,0.68,0.74,cubic,-0.068,0.914,-,10.874,0,3.788,3.788,3.788,90,90,90,-4.296,0.5481481481,0.686807065,7.726,9.394,1.9,1.65,0.686807065,0.88,1.16,0.185,0.82,1.06,0.175,,8,12,10,0
1167,1167,1167,1167,1167,CuZrO3,Cu,Zr,0,not balanced,not balanced,0.68,0.72,cubic,-1.845,0.657,0.202,14.063,0,4.127,4.127,4.127,90,90,90,-1.012,0.5333333333,0.693442882,7.726,6.84,1.9,1.33,0.693442882,0.88,1.16,0.185,1.265,1.56,0.54,0.426,10,18,12,0
1168,1168,1168,1168,1168,DyAcO3,Dy,Ac,0,element not in BV,element not in BV,1.08,1.12,cubic,-2.161,1.554,0,20.224,0,4.659,4.659,4.659,90,90,90,0.805,0.8296296296,0.6956556592,5.94,5.17,1.22,1.1,0.6956556592,,,,,,,0.35,14,30,30,14
1169,1169,1169,1169,1169,DyAgO3,Dy,Ag,0,not balanced,not balanced,1.08,0.95,cubic,-1.432,0.605,0,12.953,0,4.016,4.016,4.016,90,90,90,-0.565,0.7037037037,0.7470736862,5.94,7.5760000000000005,1.22,1.93,0.7470736862,,,,1.045,1.33,0.385,1.3019999999999998,9,18,20,0
1170,1170,1170,1170,1170,DyAlO3,Dy,Al,1,3,3,1.08,0.54,orthorhombic,-3.588,-0.03,0,10.198,6.026,5.175,5.338,7.383,90,90,90,6.313,0.4,0.9091372901000001,5.94,5.9860000000000015,1.22,1.61,0.9091372901000001,,,,0.77,0.905,,0.43283,6,7,0,0
1171,1171,1171,1171,1171,DyAsO3,Dy,As,0,3,3,1.08,0.58,cubic,-1.907,0.782,0,12.687,0,3.988,3.988,3.988,90,90,90,2.144,0.4296296296,0.8902950665,5.94,9.81,1.22,2.18,0.8902950665,,,,0.67,0.745,0.155,0.8140000000000001,8,15,10,0
1172,1172,1172,1172,1172,DyAuO3,Dy,Au,0,element not in BV,element not in BV,1.08,0.93,cubic,-1.292,0.774,0,13.694,0,4.091,4.091,4.091,90,90,90,-0.674,0.6888888889,0.7536269642,5.94,9.225,1.22,2.54,0.7536269642,,,,1.21,1.45,0.488,2.30863,11,24,29,14
1173,1173,1173,1173,1173,DyBO3,Dy,B,0,not balanced,not balanced,1.08,0.27,cubic,-2.526,0.836,0,8.244,3.002,3.454,3.454,3.454,90,90,90,5.458,0.2,1.0606601718000002,5.94,8.298,1.22,2.04,1.0606601718000002,,,,0.48,0.315,,0.279723,4,1,0,0
1174,1174,1174,1174,1174,DyBaO3,Dy,Ba,0,not balanced,not balanced,1.08,1.35,orthorhombic,-2.831,0.269,0.201,18.45,0.638,6.509,6.787,8.353,90,90,90,-7.677,1.0,0.6363961031,5.94,5.2120000000000015,1.22,0.89,0.6363961031,,,,1.515,1.8869999999999998,0.94,0.14462,12,24,20,0
1175,1175,1175,1175,1175,DyBeO3,Dy,Be,0,not balanced,not balanced,1.08,0.45,tetragonal,-2.799,0.312,0.042,9.515,0,3.311,3.311,4.341,90,90,90,-0.941,0.3333333333,0.9545941546,5.94,9.322000000000001,1.22,1.57,0.9545941546,,,,0.64,0.44,,,4,0,0,0
1176,1176,1176,1176,1176,DyBiO3,Dy,Bi,0,not balanced,not balanced,1.08,0.9,cubic,-1.518,1.144,0,16.579,0,4.36,4.36,4.36,90,90,90,0.786,0.6666666667,0.7636753237,5.94,7.289,1.22,2.02,0.7636753237,,,,0.92,1.077,0.43799999999999994,0.946,12,26,30,14
1177,1177,1177,1177,1177,DyCaO3,Dy,Ca,0,not balanced,not balanced,1.08,1.0,cubic,-2.141,1.075,0.2,13.605,0,4.082,4.082,4.082,90,90,90,-2.929,0.7407407407,0.7311785014,5.94,6.1129999999999995,1.22,1.0,0.7311785014,,,,1.32,1.68,0.34,0.02455,8,12,0,0
1178,1178,1178,1178,1178,DyCdO3,Dy,Cd,0,not balanced,not balanced,1.08,0.95,cubic,-1.598,0.822,0,13.641,0,4.086,4.086,4.086,90,90,90,-1.035,0.7037037037,0.7470736862,5.94,8.993,1.22,1.69,0.7470736862,,,,0.985,1.23,0.37,,10,18,20,0
1179,1179,1179,1179,1179,DyCeO3,Dy,Ce,0,2,4,1.19,0.87,cubic,-2.306,1.379,0,18.617,0,4.532,4.532,4.532,90,90,90,-3.241,0.6444444443999999,0.809032083,5.94,5.54,1.22,1.12,0.809032083,,,,,,,,12,24,21,0
1180,1180,1180,1180,1180,DyCoO3,Dy,Co,1,3,3,1.08,0.61,orthorhombic,-2.532,0.02,0.001,10.746,1.438,5.177,5.555,7.474,90,90,90,-,0.4518518519,0.8766681012,5.94,7.86,1.22,1.88,0.8766681012,,,,0.92,1.1,0.21,0.662,8,12,7,0
1181,1181,1181,1181,1181,DyCrO3,Dy,Cr,1,3,3,1.08,0.62,orthorhombic,-3.204,-0.038,0.6,11.115,2.524,5.265,5.569,7.582,90,90,90,4.239,0.4592592593,0.8722180093,5.94,6.766,1.22,1.66,0.8722180093,,,,1.07,1.37,0.25,0.6659999999999999,7,12,5,0
1182,1182,1182,1182,1182,DyCsO3,Dy,Cs,0,not balanced,not balanced,1.08,1.67,-,-,-,-,-,-,-,-,-,-,-,-,-,1.2370370370000001,0.5689634034000001,5.94,3.8939999999999997,1.22,0.79,0.5689634034000001,,,,1.71,2.6,,0.4716260000000001,11,24,20,0
1183,1183,1183,1183,1183,DyCuO3,Dy,Cu,0,3,3,1.08,0.54,orthorhombic,-2.282,0.047,0,10.964,0.256,5.205,5.86,7.189,90,90,90,0.68,0.4,0.9091372901000001,5.94,7.726,1.22,1.9,0.9091372901000001,,,,0.88,1.16,0.185,1.235,7,12,10,0
1184,1184,1184,1184,1184,Dy2O3,Dy,Dy,0,not balanced,not balanced,1.08,0.99,cubic,-2.904,0.946,0,15.461,1.645,4.26,4.26,4.26,90,90,90,0.855,0.7333333333,0.7343031958,5.94,5.94,1.22,1.22,0.7343031958,,,,,,,,12,24,20,9
1185,1185,1185,1185,1185,DyErO3,Dy,Er,0,not balanced,not balanced,1.08,0.89,cubic,-3.004,0.869,0,14.941,1.781,4.212,4.212,4.212,90,90,90,1.611,0.6592592593,0.7670845884999999,5.94,6.101,1.22,1.24,0.7670845884999999,,,,,,,,12,24,20,11
1186,1186,1186,1186,1186,DyEuO3,Dy,Eu,0,not balanced,not balanced,1.08,1.06,cubic,-2.131,1.152,0.105,15.365,0,4.251,4.251,4.251,90,90,90,-2.368,0.7851851851999999,0.7129748873,5.94,5.67,1.22,1.2,0.7129748873,,,,,,,,12,24,20,6
1187,1187,1187,1187,1187,DyFeO3,Dy,Fe,1,3,3,1.08,0.65,orthorhombic,-2.782,-0.033,1,11.252,1.179,5.283,5.597,7.611,90,90,90,3.193,0.4814814815,0.8591347390999999,5.94,7.87,1.22,1.83,0.8591347390999999,,,,0.95,1.16,0.22,0.151,8,12,6,0
1188,1188,1188,1188,1188,DyGaO3,Dy,Ga,0,3,3,1.08,0.62,orthorhombic,-2.972,0.017,0,11.058,4.078,5.263,5.558,7.56,90,90,90,4.452,0.4592592593,0.8722180093,5.94,5.999,1.22,1.81,0.8722180093,,,,0.76,0.935,0.17,0.43,8,13,10,0
1189,1189,1189,1189,1189,DyGdO3,Dy,Gd,0,not balanced,not balanced,1.08,0.94,cubic,-2.789,1.032,0,16.035,1.31,4.312,4.312,4.312,90,90,90,0.097,0.6962962963,0.7503360167,5.94,6.15,1.22,1.2,0.7503360167,,,,,,,,12,24,20,7
1190,1190,1190,1190,1190,DyGeO3,Dy,Ge,0,2,4,1.19,0.53,cubic,-2.216,0.609,0,11.572,0,3.868,3.868,3.868,90,90,90,2.802,0.39259259259999996,0.9553463959,5.94,7.899,1.22,2.01,0.9553463959,,,,0.72,0.84,0.16,1.232712,8,14,10,0
1191,1191,1191,1191,1191,DyHfO3,Dy,Hf,0,2,4,1.19,0.71,cubic,-3.131,0.522,0,13.456,0,4.067,4.067,4.067,90,90,90,4.507,0.5259259259000001,0.8718695262999999,5.94,6.65,1.22,1.3,0.8718695262999999,,,,1.3,1.61,0.63,0.0,12,24,21,14
1192,1192,1192,1192,1192,DyHgO3,Dy,Hg,0,not balanced,not balanced,1.08,1.11,cubic,-1.177,0.93,0,14.656,0,4.185,4.185,4.185,90,90,90,-0.976,0.8222222222,0.6984835278,5.94,10.437000000000001,1.22,2.0,0.6984835278,,,,1.07,1.34,0.475,,11,24,30,14
1193,1193,1193,1193,1193,DyHoO3,Dy,Ho,0,not balanced,not balanced,1.08,0.9,cubic,-2.956,0.906,0,15.202,1.781,4.236,4.236,4.236,90,90,90,1.312,0.6666666667,0.7636753237,5.94,6.018,1.22,1.23,0.7636753237,,,,,,,,12,24,20,10
1194,1194,1194,1194,1194,DyInO3,Dy,In,0,not balanced,not balanced,1.08,0.8,cubic,-2.146,0.701,0,13.544,1.635,4.076,4.076,4.076,90,90,90,2.656,0.5925925926,0.7991951062,5.94,5.7860000000000005,1.22,1.78,0.7991951062,,,,0.94,1.11,0.36,0.3,10,19,20,0
1195,1195,1195,1195,1195,DyIrO3,Dy,Ir,0,2,4,1.19,0.63,cubic,-1.646,0.758,0,12.315,0,3.949,3.949,3.949,90,90,90,-0.915,0.4666666667,0.9070965779000001,5.94,9.1,1.22,2.2,0.9070965779000001,,,,1.16,1.4680000000000002,0.526,1.5638,12,24,26,14
1196,1196,1196,1196,1196,DyKO3,Dy,K,0,not balanced,not balanced,1.08,1.38,orthorhombic,-2.051,0.452,0.4,17.952,0,5.932,5.968,10.141,90,90,90,-3.943,1.0222222222,0.6294027393,5.94,4.341,1.22,0.82,0.6294027393,,,,1.54,2.15,0.37,0.50147,7,12,0,0
1197,1197,1197,1197,1197,DyLaO3,Dy,La,0,not balanced,not balanced,1.08,1.03,cubic,-2.427,1.354,0,18.299,0,4.506,4.506,4.506,90,90,90,2.068,0.762962963,0.7219619656999999,5.94,5.58,1.22,1.1,0.7219619656999999,,,,1.375,1.705,0.8740000000000001,0.47,12,24,21,0
1198,1198,1198,1198,1198,DyLiO3,Dy,Li,0,not balanced,not balanced,1.08,0.76,orthorhombic,-2.281,0.326,0.4,10.375,0,4.991,5.762,7.215,90,90,90,-1.307,0.5629629629999999,0.8143457243000001,5.94,5.392,1.22,0.98,0.8143457243000001,,,,0.985,0.625,,0.618049,3,0,0,0
1199,1199,1199,1199,1199,DyLuO3,Dy,Lu,0,not balanced,not balanced,1.08,0.86,cubic,-3.148,0.758,0,14.264,2.163,4.147,4.147,4.147,90,90,90,4.616,0.637037037,0.7774975015000001,5.94,5.4259,1.22,1.27,0.7774975015000001,,,,,,,0.34,12,24,20,14
1200,1200,1200,1200,1200,DyMgO3,Dy,Mg,0,not balanced,not balanced,1.08,0.72,orthorhombic,-2.927,0.185,0.201,11.421,0,5.385,5.727,7.406,90,90,90,-1.468,0.5333333333,0.8300818736,5.94,7.646,1.22,1.31,0.8300818736,,,,0.9,1.13,,,6,6,0,0
1201,1201,1201,1201,1201,DyMnO3,Dy,Mn,1,2,4,1.19,0.53,orthorhombic,-2.96,0.024,0.8,11.308,0.262,5.281,5.721,7.486,90,90,90,3.481,0.39259259259999996,0.9553463959,5.94,7.435,1.22,1.55,0.9553463959,,,,0.99,1.23,0.23,,8,12,5,0
1202,1202,1202,1202,1202,DyMoO3,Dy,Mo,0,2,4,1.19,0.65,cubic,-2.278,0.616,0.005,12.338,0,3.951,3.951,3.951,90,90,90,1.68,0.4814814815,0.8980256121,5.94,7.099,1.22,2.16,0.8980256121,,,,1.22,1.5,0.49,0.748,9,18,15,0
1203,1203,1203,1203,1203,DyNaO3,Dy,Na,0,not balanced,not balanced,1.08,1.02,cubic,-1.441,1.064,0.399,12.005,0,3.915,3.915,3.915,90,90,90,-2.833,0.7555555556,0.7250082187000001,5.94,5.138999999999999,1.22,0.93,0.7250082187000001,,,,1.1,1.55,,0.547926,5,6,0,0
1204,1204,1204,1204,1204,DyNbO3,Dy,Nb,0,2,4,1.19,0.68,cubic,-2.601,0.614,0.001,13.018,0,4.023,4.023,4.023,90,90,90,3.104,0.5037037037,0.8847542976,5.94,6.88,1.22,1.6,0.8847542976,,,,1.23,1.53,0.51,0.893,9,18,14,0
1205,1205,1205,1205,1205,DyNdO3,Dy,Nd,0,not balanced,not balanced,1.08,0.98,cubic,-2.487,1.248,0,17.598,0.497,4.448,4.448,4.448,90,90,90,-1.117,0.7259259259,0.7374547117,5.94,5.53,1.22,1.14,0.7374547117,,,,,,,,12,24,20,3
1206,1206,1206,1206,1206,DyNiO3,Dy,Ni,1,3,3,1.08,0.6,orthorhombic,-2.408,0.013,0.2,10.539,0,5.166,5.518,7.395,90,90,90,1.062,0.44444444439999997,0.881163835,5.94,7.635,1.22,1.91,0.881163835,,,,0.96,1.22,0.195,1.156,8,12,8,0
1207,1207,1207,1207,1207,DyNpO3,Dy,Np,0,element not in BV,element not in BV,1.08,0.86,cubic,-2.574,1.092,0.776,17.072,0,4.403,4.403,4.403,90,90,90,2.464,0.637037037,0.7774975015000001,5.94,6.19,1.22,1.36,0.7774975015000001,,,,,,,,14,30,31,17
1208,1208,1208,1208,1208,DyOsO3,Dy,Os,0,element not in BV,element not in BV,1.08,0.57,cubic,-1.693,0.755,0.007,12.181,0,3.934,3.934,3.934,90,90,90,0.061,0.4222222222,0.8949320198999999,5.94,8.7,1.22,2.2,0.8949320198999999,,,,1.17,1.48,0.5429999999999999,1.1,12,24,25,14
1209,1209,1209,1209,1209,DyPaO3,Dy,Pa,0,element not in BV,element not in BV,1.08,0.91,cubic,-2.38,0.939,0.284,17.755,0,4.461,4.461,4.461,90,90,90,2.637,0.6740740741,0.7602962293000001,5.94,5.89,1.22,1.5,0.7602962293000001,,,,,,,,14,30,32,14
