Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],C,Anion Radii,Goldschmidt Tolerance Factor
Ac2O3,Ac,Ac,FALSE,element not in BV,element not in BV,1.12,1.12,cubic,-2.732,0.848,0,20.836,0.332,4.705,4.705,4.705,90,90,90,3.15,O,1.385,0.7071067812
AcAgO3,Ac,Ag,FALSE,element not in BV,element not in BV,1.12,0.95,orthorhombic,-1.957,-0.055,0,14.485,0,5.779,6.077,8.248,90,90,90,0.817,O,1.385,0.7585877888
AcAlO3,Ac,Al,FALSE,element not in BV,element not in BV,1.12,0.54,cubic,-3.532,-0.11,0,11.487,4.307,3.858,3.858,3.858,90,90,90,6.695,O,1.385,0.920157136
AcAsO3,Ac,As,FALSE,element not in BV,element not in BV,1.12,0.52,orthorhombic,-2.398,0.224,0,14.355,0,5.78,6.012,8.262,90,90,90,3.634,O,1.385,0.9298175784
AcAuO3,Ac,Au,FALSE,element not in BV,element not in BV,1.12,0.93,orthorhombic,-2.006,-0.056,0,15.19,0.745,5.899,6.75,7.63,90,90,90,0.807,O,1.385,0.765141463
AcBO3,Ac,B,FALSE,element not in BV,element not in BV,1.12,0.27,cubic,-2.316,0.786,0,10.075,1.071,3.693,3.693,3.693,90,90,90,4.163,O,1.385,1.070273406
AcBaO3,Ac,Ba,FALSE,element not in BV,element not in BV,1.12,1.35,orthorhombic,-2.741,0.221,0.2,20.944,0,6.315,6.356,10.436,90,90,90,-1.771,O,1.385,0.6476425912
AcBeO3,Ac,Be,FALSE,element not in BV,element not in BV,1.12,0.45,cubic,-2.715,0.262,0.183,10.639,0,3.761,3.761,3.761,90,90,90,-0.08,O,1.385,0.9652874588
AcBiO3,Ac,Bi,FALSE,element not in BV,element not in BV,1.12,0.9,orthorhombic,-2.5,0.027,0,17.182,1.639,6.09,6.415,8.796,90,90,90,2.653,O,1.385,0.775187084
AcCaO3,Ac,Ca,FALSE,element not in BV,element not in BV,1.12,1,orthorhombic,-2.964,0.117,0.2,15.873,0,5.994,6.269,8.448,90,90,90,-1.025,O,1.385,0.7426844809
AcCdO3,Ac,Cd,FALSE,element not in BV,element not in BV,1.12,0.95,orthorhombic,-2.224,0.061,0,15.094,0,5.84,6.199,8.338,90,90,90,0.264,O,1.385,0.7585877888
AcCeO3,Ac,Ce,FALSE,element not in BV,element not in BV,1.12,0.94,cubic,-2.864,0.686,0,19.228,1.439,4.581,4.581,4.581,90,90,90,4.197,O,1.385,0.761850532
AcCoO3,Ac,Co,FALSE,element not in BV,element not in BV,1.12,0.63,rhombohedral,-2.426,-0.01,0.592,11.94,0,5.522,5.522,5.522,60.1,60.1,60.1,3.33,O,1.385,0.8790583061
AcCrO3,Ac,Cr,FALSE,element not in BV,element not in BV,1.12,0.58,orthorhombic,-3.138,-0.107,0.6,12.5,1.817,5.594,5.639,7.925,90,90,90,5.121,O,1.385,0.901426202
AcCsO3,Ac,Cs,FALSE,element not in BV,element not in BV,1.12,1.67,tetragonal,-1.602,0.752,0.004,19.919,0,4.179,4.179,5.702,90,90,90,-1.411,O,1.385,0.5798044147
AcCuO3,Ac,Cu,FALSE,element not in BV,element not in BV,1.12,0.68,orthorhombic,-2.241,-0.077,0,11.892,0,5.509,5.528,7.809,90,90,90,1.596,O,1.385,0.8577736014
AcDyO3,Ac,Dy,FALSE,element not in BV,element not in BV,1.12,0.99,orthorhombic,-3.712,0.002,0,15.895,4.542,5.989,6.176,8.595,90,90,90,5.48,O,1.385,0.7458115734
AcErO3,Ac,Er,FALSE,element not in BV,element not in BV,1.12,0.89,orthorhombic,-3.748,-0.01,0,15.547,4.544,5.96,6.123,8.521,90,90,90,5.682,O,1.385,0.7785944997
AcEuO3,Ac,Eu,FALSE,element not in BV,element not in BV,1.12,1.06,orthorhombic,-3.04,0.108,0.2,16.695,0,6.033,6.3,8.784,90,90,90,-0.381,O,1.385,0.7244590948
AcFeO3,Ac,Fe,FALSE,element not in BV,element not in BV,1.12,0.67,orthorhombic,-2.731,-0.116,1,12.687,0.906,5.63,5.655,7.97,90,90,90,4.135,O,1.385,0.8619476822
AcGaO3,Ac,Ga,FALSE,element not in BV,element not in BV,1.12,0.62,orthorhombic,-2.914,-0.073,0,12.393,3.174,5.584,5.622,7.895,90,90,90,5.294,O,1.385,0.8834426368
AcGdO3,Ac,Gd,FALSE,element not in BV,element not in BV,1.12,0.94,orthorhombic,-3.67,0.016,0,16.276,4.335,6.029,6.225,8.673,90,90,90,5.268,O,1.385,0.761850532
AcGeO3,Ac,Ge,FALSE,element not in BV,element not in BV,1.12,0.63,orthorhombic,-2.547,0.093,0,13.62,0,5.744,5.816,8.154,90,90,90,3.511,O,1.385,0.8790583061
AcHfO3,Ac,Hf,FALSE,element not in BV,element not in BV,1.12,0.71,orthorhombic,-3.414,0.104,0,14.273,0,5.773,5.94,8.324,90,90,90,5.504,O,1.385,0.8454904472
AcHgO3,Ac,Hg,FALSE,element not in BV,element not in BV,1.12,1.11,orthorhombic,-1.951,0.021,0,15.992,0,5.817,6.68,8.231,90,90,90,0.336,O,1.385,0.7099408765
AcHoO3,Ac,Ho,FALSE,element not in BV,element not in BV,1.12,0.9,orthorhombic,-3.731,-0.004,0,15.716,4.552,5.975,6.152,8.551,90,90,90,5.577,O,1.385,0.775187084
AcInO3,Ac,In,FALSE,element not in BV,element not in BV,1.12,0.8,orthorhombic,-2.748,-0.036,0,14.775,2.695,5.857,6.035,8.359,90,90,90,3.988,O,1.385,0.8106647537
AcIrO3,Ac,Ir,FALSE,element not in BV,element not in BV,1.12,0.63,orthorhombic,-2.194,0.075,0,13.405,0.754,5.616,5.907,8.082,90,90,90,1.277,O,1.385,0.8790583061
AcKO3,Ac,K,FALSE,element not in BV,element not in BV,1.12,1.38,orthorhombic,-1.973,0.394,0.4,19.767,0,6.346,6.434,9.682,90,90,90,-2.742,O,1.385,0.6406157276
AcLaO3,Ac,La,FALSE,element not in BV,element not in BV,1.12,1.03,cubic,-2.983,0.663,0,18.986,1.423,4.562,4.562,4.562,90,90,90,4.187,O,1.385,0.7334585867
AcLiO3,Ac,Li,FALSE,element not in BV,element not in BV,1.12,0.76,cubic,-2.248,0.223,0.399,11.628,0,3.874,3.874,3.874,90,90,90,-0.334,O,1.385,0.8257820452
AcLuO3,Ac,Lu,FALSE,element not in BV,element not in BV,1.12,0.86,orthorhombic,-3.793,-0.022,0,15.05,4.709,5.905,6.047,8.429,90,90,90,5.945,O,1.385,0.7889988806
AcMgO3,Ac,Mg,FALSE,element not in BV,element not in BV,1.12,0.72,rhombohedral,-2.898,0.079,0.201,12.717,0,5.556,5.556,5.556,62.2,62.2,62.2,-,O,1.385,0.8414738655
AcMnO3,Ac,Mn,FALSE,element not in BV,element not in BV,1.12,0.62,orthorhombic,-2.918,-0.12,0.8,12.612,0,5.612,5.655,7.948,90,90,90,4.094,O,1.385,0.8834426368
AcMoO3,Ac,Mo,FALSE,element not in BV,element not in BV,1.12,0.62,orthorhombic,-2.638,0.121,0.403,13.687,0,5.684,5.914,8.143,90,90,90,4.549,O,1.385,0.8834426368
AcNaO3,Ac,Na,FALSE,element not in BV,element not in BV,1.12,1.02,cubic,-1.826,0.544,0.4,13.679,0,4.09,4.09,4.09,90,90,90,-,O,1.385,0.7365083105
AcNbO3,Ac,Nb,FALSE,element not in BV,element not in BV,1.12,0.68,orthorhombic,-2.955,0.081,0.001,13.985,0,5.717,5.966,8.201,90,90,90,4.946,O,1.385,0.8577736014
AcNdO3,Ac,Nd,FALSE,element not in BV,element not in BV,1.12,0.98,cubic,-3.029,0.571,0,18.259,1.828,4.503,4.503,4.503,90,90,90,4.679,O,1.385,0.7489651107
AcNiO3,Ac,Ni,FALSE,element not in BV,element not in BV,1.12,0.59,orthorhombic,-2.365,-0.077,0.2,11.833,0,5.505,5.522,7.786,90,90,90,1.575,O,1.385,0.8968620187
AcNpO3,Ac,Np,FALSE,element not in BV,element not in BV,1.12,0.86,cubic,-3.018,0.512,0.794,18.186,0,4.497,4.497,4.497,90,90,90,4.396,O,1.385,0.7889988806
AcOsO3,Ac,Os,FALSE,element not in BV,element not in BV,1.12,0.57,orthorhombic,-2.146,0.167,0.109,13.292,0,5.463,6.091,7.989,90,90,90,2.322,O,1.385,0.9060370777
AcPaO3,Ac,Pa,FALSE,element not in BV,element not in BV,1.12,0.91,cubic,-2.693,0.491,0.241,18.517,0,4.524,4.524,4.524,90,90,90,4.095,O,1.385,0.7718093625
AcPbO3,Ac,Pb,FALSE,element not in BV,element not in BV,1.12,0.99,orthorhombic,-2.369,0.038,0,16.738,0,6.034,6.377,8.701,90,90,90,1.255,O,1.385,0.7458115734
AcPdO3,Ac,Pd,FALSE,element not in BV,element not in BV,1.12,0.75,orthorhombic,-2.171,-0.122,0,13.678,0,5.715,5.924,8.081,90,90,90,1.499,O,1.385,0.8296498768
AcPmO3,Ac,Pm,FALSE,element not in BV,element not in BV,1.12,0.97,cubic,-3.111,0.518,0,17.814,2.014,4.466,4.466,4.466,90,90,90,4.845,O,1.385,0.7521454297
AcPrO3,Ac,Pr,FALSE,element not in BV,element not in BV,1.12,0.92,cubic,-2.953,0.625,0,18.704,1.649,4.539,4.539,4.539,90,90,90,4.449,O,1.385,0.7684609488
AcPtO3,Ac,Pt,FALSE,element not in BV,element not in BV,1.12,0.67,orthorhombic,-2.101,0.037,0,14.009,0,5.811,6.177,7.805,90,90,90,1.204,O,1.385,0.8619476822
AcPuO3,Ac,Pu,FALSE,element not in BV,element not in BV,1.12,0.83,cubic,-3.005,0.602,0.942,17.512,0,4.441,4.441,4.441,90,90,90,3.324,O,1.385,0.7996850957
AcRbO3,Ac,Rb,FALSE,element not in BV,element not in BV,1.12,1.52,orthorhombic,-1.914,0.444,0,20.923,0.599,5.98,6.089,11.491,90,90,90,-2.002,O,1.385,0.6097426805
AcReO3,Ac,Re,FALSE,element not in BV,element not in BV,1.12,0.57,orthorhombic,-2.286,0.273,0.215,13.361,0,5.556,5.978,8.046,90,90,90,2.924,O,1.385,0.9060370777
AcRhO3,Ac,Rh,FALSE,element not in BV,element not in BV,1.12,0.61,orthorhombic,-2.334,-0.077,0,13.23,0.604,5.635,5.837,8.046,90,90,90,1.899,O,1.385,0.8878709207
AcRuO3,Ac,Ru,FALSE,element not in BV,element not in BV,1.12,0.62,orthorhombic,-2.345,0.015,0.197,13.161,0,5.619,5.835,8.029,90,90,90,2.787,O,1.385,0.8834426368
AcSbO3,Ac,Sb,FALSE,element not in BV,element not in BV,1.12,0.68,orthorhombic,-2.465,0.114,0,16.31,0.296,5.98,6.327,8.621,90,90,90,2.835,O,1.385,0.8577736014
AcScO3,Ac,Sc,FALSE,element not in BV,element not in BV,1.12,0.75,orthorhombic,-3.762,-0.068,0,13.854,4.099,5.782,5.844,8.201,90,90,90,6.193,O,1.385,0.8296498768
AcSiO3,Ac,Si,FALSE,element not in BV,element not in BV,1.12,0.4,tetragonal,-2.778,0.395,0,12.758,0,3.79,3.79,4.442,90,90,90,4.34,O,1.385,0.9923263232
AcSmO3,Ac,Sm,FALSE,element not in BV,element not in BV,1.12,0.96,orthorhombic,-3.608,0.033,0,16.756,4.287,6.08,6.293,8.759,90,90,90,4.949,O,1.385,0.7553528729
AcSnO3,Ac,Sn,FALSE,element not in BV,element not in BV,1.12,0.69,orthorhombic,-2.582,0.101,0,15.772,0,5.942,6.208,8.551,90,90,90,3.025,O,1.385,0.8536397527
AcSrO3,Ac,Sr,FALSE,element not in BV,element not in BV,1.12,1.18,cubic,-2.247,0.78,-0.006,17.587,0,4.447,4.447,4.447,90,90,90,-1.505,O,1.385,0.6905662717
AcTaO3,Ac,Ta,FALSE,element not in BV,element not in BV,1.12,0.68,orthorhombic,-2.945,0.159,0,13.765,0,5.615,5.983,8.195,90,90,90,4.844,O,1.385,0.8577736014
AcTbO3,Ac,Tb,FALSE,element not in BV,element not in BV,1.12,0.84,orthorhombic,-3.561,0.009,0,16.078,4.382,6.009,6.201,8.63,90,90,90,5.379,O,1.385,0.7960910053
AcTcO3,Ac,Tc,FALSE,element not in BV,element not in BV,1.12,0.6,orthorhombic,-2.487,0.069,0.397,13.358,0,5.652,5.84,8.095,90,90,90,3.73,O,1.385,0.8923438221
AcTeO3,Ac,Te,FALSE,element not in BV,element not in BV,1.12,0.77,cubic,-1.817,0.558,0.001,16.423,0,4.346,4.346,4.346,90,90,90,2.116,O,1.385,0.8219501099
AcThO3,Ac,Th,FALSE,element not in BV,element not in BV,1.12,0.94,cubic,-3.113,0.622,0.002,19.466,0,4.6,4.6,4.6,90,90,90,3.724,O,1.385,0.761850532
AcTiO3,Ac,Ti,FALSE,element not in BV,element not in BV,1.12,0.71,orthorhombic,-3.443,-0.092,0.003,12.8,0,5.647,5.662,8.007,90,90,90,5.944,O,1.385,0.8454904472
AcTlO3,Ac,Tl,FALSE,element not in BV,element not in BV,1.12,1.2,orthorhombic,-2.27,-0.012,0,15.973,1.041,5.937,6.296,8.547,90,90,90,1.876,O,1.385,0.6852233992
AcTmO3,Ac,Tm,FALSE,element not in BV,element not in BV,1.12,0.96,orthorhombic,-3.772,-0.016,0,15.361,4.565,5.94,6.089,8.494,90,90,90,5.793,O,1.385,0.7553528729
AcUO3,Ac,U,FALSE,element not in BV,element not in BV,1.12,0.85,cubic,-2.874,0.635,0.525,17.809,0,4.466,4.466,4.466,90,90,90,2.892,O,1.385,0.7925290769
AcVO3,Ac,V,FALSE,element not in BV,element not in BV,1.12,0.64,orthorhombic,-3.221,-0.116,0.4,12.873,1.21,5.664,5.684,7.997,90,90,90,4.968,O,1.385,0.8747172775
AcWO3,Ac,W,FALSE,element not in BV,element not in BV,1.12,0.63,orthorhombic,-2.501,0.268,0.003,13.405,0,5.669,5.86,8.07,90,90,90,3.492,O,1.385,0.8790583061
AcYO3,Ac,Y,FALSE,element not in BV,element not in BV,1.12,0.9,orthorhombic,-3.693,0.001,0,15.939,4.608,5.993,6.183,8.603,90,90,90,5.419,O,1.385,0.775187084
AcYbO3,Ac,Yb,FALSE,element not in BV,element not in BV,1.12,0.95,orthorhombic,-3.094,0.099,0.2,15.548,0,5.937,6.214,8.429,90,90,90,-0.312,O,1.385,0.7585877888
AcZnO3,Ac,Zn,FALSE,element not in BV,element not in BV,1.12,0.74,orthorhombic,-2.416,0.033,0,12.54,0,5.587,5.662,7.928,90,90,90,0.739,O,1.385,0.8335541115
AcZrO3,Ac,Zr,FALSE,element not in BV,element not in BV,1.12,0.72,orthorhombic,-3.365,0.069,-0.001,14.751,0,5.84,6.057,8.34,90,90,90,5.242,O,1.385,0.8414738655
AgAcO3,Ag,Ac,FALSE,element not in BV,element not in BV,1.28,1.12,orthorhombic,-1.674,0.283,0,15.943,0,6.008,6.225,8.526,90,90,90,-1.294,O,1.385,0.7522712862
Ag2O3,Ag,Ag,FALSE,not balanced,not balanced,1.28,0.95,cubic,0.351,0.576,-,12.997,0,4.02,4.02,4.02,90,90,90,-2.694,O,1.385,0.8070405019
AgAlO3,Ag,Al,FALSE,not balanced,not balanced,1.28,0.54,orthorhombic,-1.51,0.235,-,9.898,0,5.094,5.323,7.3,90,90,90,-1.341,O,1.385,0.9789296477
AgAsO3,Ag,As,FALSE,1,5,1.28,0.46,tetragonal,-0.815,0.293,-,11.367,0,3.571,3.571,4.458,90,90,90,0.529,O,1.385,1.0213764617
AgAuO3,Ag,Au,FALSE,element not in BV,element not in BV,1.28,0.93,cubic,0.286,0.539,-,13.242,0,4.046,4.046,4.046,90,90,90,-1.113,O,1.385,0.814012774
AgBO3,Ag,B,FALSE,3,3,0.75,0.27,cubic,-0.35,1.074,-,8.138,0,3.439,3.439,3.439,90,90,90,-2.641,O,1.385,0.9121891105
AgBaO3,Ag,Ba,FALSE,not balanced,not balanced,1.28,1.35,orthorhombic,-0.989,0.388,-,15.631,0.247,6.636,6.739,6.99,90,90,90,-6.975,O,1.385,0.6890089842
AgBeO3,Ag,Be,FALSE,not balanced,not balanced,1.28,0.45,cubic,-0.616,0.683,-,8.781,0,3.528,3.528,3.528,90,90,90,-3.058,O,1.385,1.026942546
AgBiO3,Ag,Bi,FALSE,1,5,1.28,0.76,rhombohedral,-0.817,0.064,-,13.662,0,5.765,5.765,5.765,60.4,60.4,60.4,-0.062,O,1.385,0.8785266069
AgCaO3,Ag,Ca,FALSE,not balanced,not balanced,1.28,1,rhombohedral,-0.975,0.435,-,14.204,0,5.884,5.884,5.884,59.4,59.4,59.4,-6.108,O,1.385,0.7901214138
AgCdO3,Ag,Cd,FALSE,not balanced,not balanced,1.28,0.95,cubic,0.174,0.781,-,14.05,0,4.126,4.126,4.126,90,90,90,-4.143,O,1.385,0.8070405019
AgCeO3,Ag,Ce,FALSE,not balanced,not balanced,1.28,0.94,orthorhombic,-1.597,0.28,0,15.13,0,5.962,6.115,8.3,90,90,90,-3.253,O,1.385,0.8105116438
AgCoO3,Ag,Co,FALSE,not balanced,not balanced,1.28,0.63,orthorhombic,-0.481,0.258,0.005,10.146,0,5.208,5.302,7.348,90,90,90,-,O,1.385,0.9352057429
AgCrO3,Ag,Cr,FALSE,1,5,1.28,0.49,orthorhombic,-1.236,0.15,0.386,10.545,0,5.357,5.401,7.29,90,90,90,0.037,O,1.385,1.0050344383
AgCsO3,Ag,Cs,FALSE,not balanced,not balanced,1.28,1.67,cubic,0.539,1.287,-,16.599,0,4.362,4.362,4.362,90,90,90,-1.803,O,1.385,0.6168378304
AgCuO3,Ag,Cu,FALSE,not balanced,not balanced,1.28,0.68,orthorhombic,-0.224,0.23,-,10.222,0,5.066,5.322,7.583,90,90,90,-2.405,O,1.385,0.912561536
AgDyO3,Ag,Dy,FALSE,not balanced,not balanced,1.28,0.99,cubic,-1.334,0.704,0,16.23,0,4.329,4.329,4.329,90,90,90,-3.359,O,1.385,0.7934482408
AgErO3,Ag,Er,FALSE,not balanced,not balanced,1.28,0.89,cubic,-1.386,0.675,-0.023,15.94,0,4.303,4.303,4.303,90,90,90,-3.225,O,1.385,0.8283250865
AgEuO3,Ag,Eu,FALSE,not balanced,not balanced,1.28,1.06,orthorhombic,-1.17,0.347,-0.033,13.994,0,5.684,5.956,8.268,90,90,90,-4.981,O,1.385,0.7707319312
AgFeO3,Ag,Fe,FALSE,not balanced,not balanced,1.28,0.67,orthorhombic,-0.817,0.142,0.851,10.78,0,5.451,5.474,7.225,90,90,90,-,O,1.385,0.9170022248
AgGaO3,Ag,Ga,FALSE,not balanced,not balanced,1.28,0.62,orthorhombic,-0.927,0.236,-,10.602,0,5.13,5.419,7.628,90,90,90,-2.518,O,1.385,0.9398701107
AgGdO3,Ag,Gd,FALSE,not balanced,not balanced,1.28,0.94,cubic,-1.281,0.728,0,16.72,0,4.373,4.373,4.373,90,90,90,-3.47,O,1.385,0.8105116438
AgGeO3,Ag,Ge,FALSE,not balanced,not balanced,1.28,0.63,orthorhombic,-1.053,0.186,-,10.4,0,5.325,5.343,7.31,90,90,90,-0.267,O,1.385,0.9352057429
AgHfO3,Ag,Hf,FALSE,not balanced,not balanced,1.28,0.71,orthorhombic,-2.24,0.17,0.002,12.255,0,5.376,5.735,7.951,90,90,90,-0.054,O,1.385,0.8994938291
AgHgO3,Ag,Hg,FALSE,not balanced,not balanced,1.28,1.11,cubic,0.409,0.703,-,14.36,0,4.156,4.156,4.156,90,90,90,-3.166,O,1.385,0.7552864015
AgHoO3,Ag,Ho,FALSE,not balanced,not balanced,1.28,0.9,cubic,-1.362,0.688,0.03,15.995,0,4.308,4.308,4.308,90,90,90,-3.272,O,1.385,0.8247000314
AgInO3,Ag,In,FALSE,not balanced,not balanced,1.28,0.8,cubic,-0.391,0.643,-,14.198,0,4.141,4.141,4.141,90,90,90,-3.35,O,1.385,0.86244374
AgIrO3,Ag,Ir,FALSE,1,5,1.28,0.57,rhombohedral,-0.591,0.154,0.007,11.313,0,5.367,5.367,5.367,61.6,61.6,61.6,1.233,O,1.385,0.9639077094
AgKO3,Ag,K,FALSE,not balanced,not balanced,1.28,1.38,cubic,1.006,1.761,-,16.199,0,4.327,4.327,4.327,90,90,90,-4.658,O,1.385,0.681533299
AgLaO3,Ag,La,FALSE,not balanced,not balanced,1.28,1.03,orthorhombic,-1.707,0.261,0.089,15.011,0,5.835,6.067,8.48,90,90,90,-2.616,O,1.385,0.7803062409
AgLiO3,Ag,Li,FALSE,not balanced,not balanced,1.28,0.76,cubic,0.105,0.926,-,9.602,0,3.635,3.635,3.635,90,90,90,-5.547,O,1.385,0.8785266069
AgLuO3,Ag,Lu,FALSE,not balanced,not balanced,1.28,0.86,cubic,-1.528,0.565,-0.4,15.37,0,4.252,4.252,4.252,90,90,90,-2.317,O,1.385,0.8393940186
AgMgO3,Ag,Mg,FALSE,not balanced,not balanced,1.28,0.72,cubic,-0.609,0.694,-,11.551,0,3.865,3.865,3.865,90,90,90,-3.823,O,1.385,0.8952206992
AgMnO3,Ag,Mn,FALSE,not balanced,not balanced,1.28,0.62,orthorhombic,-1.013,0.151,0.596,10.451,0,5.328,5.333,7.356,90,90,90,-0.942,O,1.385,0.9398701107
AgMoO3,Ag,Mo,FALSE,1,5,1.28,0.61,cubic,-1.548,0.182,0,11.963,0,3.911,3.911,3.911,90,90,90,4.381,O,1.385,0.944581239
AgNaO3,Ag,Na,FALSE,not balanced,not balanced,1.28,1.02,cubic,0.624,1.373,-,13.092,0,4.03,4.03,4.03,90,90,90,-9.782,O,1.385,0.7835507575
AgNbO3,Ag,Nb,TRUE,1,5,1.28,0.64,rhombohedral,-2.009,0.043,0,12.263,1.269,5.611,5.611,5.611,59.2,59.2,59.2,4.672,O,1.385,0.9305874429
AgNdO3,Ag,Nd,FALSE,not balanced,not balanced,1.28,0.98,cubic,-1.152,0.827,0.013,17.662,0,4.453,4.453,4.453,90,90,90,-3.549,O,1.385,0.7968032016
AgNiO3,Ag,Ni,FALSE,not balanced,not balanced,1.28,0.59,orthorhombic,-0.377,0.232,0.006,10.196,0,5.118,5.377,7.41,90,90,90,-1.927,O,1.385,0.9541466187
AgNpO3,Ag,Np,FALSE,element not in BV,element not in BV,1.28,0.86,orthorhombic,-2.246,0.086,0.4,14.282,1.698,5.694,6.003,8.356,90,90,90,1.048,O,1.385,0.8393940186
AgOsO3,Ag,Os,FALSE,element not in BV,element not in BV,1.28,0.57,rhombohedral,-0.801,0.18,0.077,11.258,0,5.379,5.379,5.379,61,61,61,3.043,O,1.385,0.9639077094
AgPaO3,Ag,Pa,FALSE,element not in BV,element not in BV,1.28,0.91,rhombohedral,-2.326,-0.361,0,14.961,2.571,6.043,6.043,6.043,58.2,58.2,58.2,4.367,O,1.385,0.8211065673
AgPbO3,Ag,Pb,FALSE,not balanced,not balanced,1.28,0.99,orthorhombic,-0.668,0.106,-,13.353,0,5.484,5.809,8.382,90,90,90,-1.825,O,1.385,0.7934482408
AgPdO3,Ag,Pd,FALSE,not balanced,not balanced,1.28,0.75,orthorhombic,-0.323,0.115,-,11.304,0,5.3,5.526,7.719,90,90,90,-1.906,O,1.385,0.8826414856
AgPmO3,Ag,Pm,FALSE,element not in BV,element not in BV,1.28,0.97,cubic,-1.194,0.757,-0.025,17.337,0,4.426,4.426,4.426,90,90,90,-3.507,O,1.385,0.8001866547
AgPrO3,Ag,Pr,FALSE,not balanced,not balanced,1.28,0.92,orthorhombic,-1.624,0.276,-0.001,14.835,0,5.914,6.088,8.241,90,90,90,-3.23,O,1.385,0.8175442828
AgPtO3,Ag,Pt,FALSE,element not in BV,element not in BV,1.28,0.67,orthorhombic,-0.389,0.162,0.185,11.472,0,5.39,5.527,7.702,90,90,90,-0.739,O,1.385,0.9170022248
AgPuO3,Ag,Pu,FALSE,element not in BV,element not in BV,1.28,0.83,orthorhombic,-2.016,0.046,0.6,14.166,0.997,5.67,5.99,8.343,90,90,90,0.281,O,1.385,0.8507627864
AgRbO3,Ag,Rb,FALSE,not balanced,not balanced,1.28,1.52,cubic,0.957,1.699,-,16.106,0,4.318,4.318,4.318,90,90,90,-12.398,O,1.385,0.6486883208
AgReO3,Ag,Re,FALSE,1,5,1.28,0.58,cubic,-1.22,0.301,0,11.768,0,3.889,3.889,3.889,90,90,90,4.367,O,1.385,0.9590023266
AgRhO3,Ag,Rh,FALSE,not balanced,not balanced,1.28,0.61,orthorhombic,-0.541,0.188,0.038,11.041,0,5.357,5.411,7.617,90,90,90,0.287,O,1.385,0.944581239
AgRuO3,Ag,Ru,FALSE,1,5,1.28,0.57,rhombohedral,-0.754,0.112,0.1,11.148,0,5.375,5.375,5.375,60.7,60.7,60.7,1.891,O,1.385,0.9639077094
AgSbO3,Ag,Sb,TRUE,1,5,1.28,0.6,orthorhombic,-1.157,0.109,-,12.152,0,5.539,5.591,7.848,90,90,90,2.278,O,1.385,0.9493398347
AgScO3,Ag,Sc,FALSE,not balanced,not balanced,1.28,0.75,orthorhombic,-1.781,0.235,0.001,11.772,0,5.276,5.635,7.918,90,90,90,-2.029,O,1.385,0.8826414856
AgSiO3,Ag,Si,FALSE,not balanced,not balanced,1.28,0.4,tetragonal,-1.63,0.32,-,10.221,0,3.32,3.32,4.638,90,90,90,0.186,O,1.385,1.0557084436
AgSmO3,Ag,Sm,FALSE,not balanced,not balanced,1.28,0.96,cubic,-1.22,0.743,0.054,17.49,0,4.439,4.439,4.439,90,90,90,-3.43,O,1.385,0.8035989645
AgSnO3,Ag,Sn,FALSE,not balanced,not balanced,1.28,0.69,orthorhombic,-1.126,0.152,-,12.255,0,5.392,5.661,8.03,90,90,90,-0.512,O,1.385,0.9081636491
AgSrO3,Ag,Sr,FALSE,not balanced,not balanced,1.28,1.18,orthorhombic,-1.047,0.354,-,14.274,0,6.337,6.414,7.024,90,90,90,-7.543,O,1.385,0.734674297
AgTaO3,Ag,Ta,TRUE,1,5,1.28,0.64,rhombohedral,-2.247,0.018,0,12.114,2.03,5.584,5.584,5.584,59.3,59.3,59.3,5.586,O,1.385,0.9305874429
AgTbO3,Ag,Tb,FALSE,not balanced,not balanced,1.28,0.84,cubic,-1.177,0.716,-0.001,16.469,0,4.351,4.351,4.351,90,90,90,-3.403,O,1.385,0.8469391334
AgTcO3,Ag,Tc,FALSE,element not in BV,element not in BV,1.28,0.6,rhombohedral,-1.141,0.172,0.003,11.35,0,5.442,5.442,5.442,59.8,59.8,59.8,3.523,O,1.385,0.9493398347
AgTeO3,Ag,Te,FALSE,not balanced,not balanced,1.28,0.77,orthorhombic,-0.835,0.14,-,12.872,0,5.62,5.719,8.01,90,90,90,1.213,O,1.385,0.8744499173
AgThO3,Ag,Th,FALSE,not balanced,not balanced,1.28,0.94,cubic,-2.063,0.585,-0.115,17.974,0,4.479,4.479,4.479,90,90,90,-0.696,O,1.385,0.8105116438
AgTiO3,Ag,Ti,FALSE,not balanced,not balanced,1.28,0.71,orthorhombic,-1.915,0.137,0.006,11.01,0,5.41,5.418,7.512,90,90,90,-0.16,O,1.385,0.8994938291
AgTlO3,Ag,Tl,FALSE,not balanced,not balanced,1.28,1.2,cubic,0.113,0.694,-,14.969,0,4.214,4.214,4.214,90,90,90,-3.625,O,1.385,0.7289901632
AgTmO3,Ag,Tm,FALSE,not balanced,not balanced,1.28,0.96,cubic,-1.419,0.66,0,15.687,0,4.281,4.281,4.281,90,90,90,-3.122,O,1.385,0.8035989645
AgUO3,Ag,U,FALSE,1,5,1.28,0.76,rhombohedral,-2.513,-0.009,0.2,14.714,2.636,6.032,6.032,6.032,57.7,57.7,57.7,3.748,O,1.385,0.8785266069
