Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],C,Anion Radii,Goldschmidt Tolerance Factor
CuAgO3,Cu,Ag,FALSE,not balanced,not balanced,0.68,0.95,orthorhombic,-0.23,0.224,-,10.506,0,4.947,5.214,8.146,90,90,90,-3.439,O,1.385,0.6253428279
CuAlO3,Cu,Al,FALSE,not balanced,not balanced,0.68,0.54,cubic,-1.398,0.557,-,9.647,0,3.64,3.64,3.64,90,90,90,-2.208,O,1.385,0.7585327289
CuAsO3,Cu,As,FALSE,1,5,0.77,0.46,rhombohedral,-1.028,0.154,-,9.505,0,5.167,5.167,5.167,58.9,58.9,58.9,0.91,O,1.385,0.8259160507
CuAuO3,Cu,Au,FALSE,element not in BV,element not in BV,0.68,0.93,cubic,0.382,0.845,-,12.838,0,4.004,4.004,4.004,90,90,90,-1.702,O,1.385,0.6307453577
CuBO3,Cu,B,FALSE,3,3,0.54,0.27,cubic,-0.524,1.118,-,7.313,0,3.319,3.319,3.319,90,90,90,-3.221,O,1.385,0.8224655914
CuBaO3,Cu,Ba,FALSE,not balanced,not balanced,0.68,1.35,orthorhombic,-1.435,0.159,-,15.514,0,5.484,6.298,8.984,90,90,90,-8.108,O,1.385,0.5338850103
CuBeO3,Cu,Be,FALSE,not balanced,not balanced,0.68,0.45,cubic,-0.649,0.86,-,7.822,0,3.394,3.394,3.394,90,90,90,-3.966,O,1.385,0.795735969
CuBiO3,Cu,Bi,FALSE,1,5,0.77,0.76,rhombohedral,-0.999,0.095,-,12.822,0,5.752,5.752,5.752,57.9,57.9,57.9,-0.242,O,1.385,0.7104033163
CuCaO3,Cu,Ca,FALSE,not balanced,not balanced,0.68,1,orthorhombic,-1.457,0.17,-,11.668,0,5.66,5.775,7.139,90,90,90,-,O,1.385,0.6122329154
CuCdO3,Cu,Cd,FALSE,not balanced,not balanced,0.68,0.95,cubic,0.286,1.103,-,13.619,0,4.084,4.084,4.084,90,90,90,-5.395,O,1.385,0.6253428279
