,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],C,Anion Radii,Goldschmidt Tolerance Factor,A_EN,B_EN,C_EN
632,BiRbO3,Bi,Rb,False,not balanced,not balanced,1.38,1.52,orthorhombic,-1.205,0.218,-,18.866,0.971,5.115,5.768,12.79,90,90,90,-9.484,O,1.385,0.6730293459000001,2.02,0.82,3.44
633,BiReO3,Bi,Re,False,1,5,1.38,0.58,cubic,-1.04,0.506,0.02,12.764,0,3.996,3.996,3.996,90,90,90,1.965,O,1.385,0.9949874045999999,2.02,1.9,3.44
634,BiRhO3,Bi,Rh,False,3,3,1.38,0.67,orthorhombic,-1.182,0.056,0,12.332,0.513,5.403,5.865,7.783,90,90,90,0.707,O,1.385,0.9514113139,2.02,2.28,3.44
635,BiRuO3,Bi,Ru,False,2,4,1.38,0.62,orthorhombic,-1.176,0.138,0.192,12.35,0,5.398,5.847,7.825,90,90,90,1.594,O,1.385,0.9751372818,2.02,2.2,3.44
636,BiSbO3,Bi,Sb,False,3,3,1.38,0.76,orthorhombic,-1.365,0.171,-,15.301,0,5.783,6.291,8.413,90,90,90,1.105,O,1.385,0.9114919579999999,2.02,2.05,3.44
637,BiScO3,Bi,Sc,True,3,3,1.38,0.75,orthorhombic,-2.608,0.033,0,13.075,3.008,5.56,5.855,8.033,90,90,90,1.957,O,1.385,0.9157612412,2.02,1.36,3.44
638,BiSiO3,Bi,Si,False,2,4,1.38,0.4,cubic,-1.645,0.727,-,10.736,0,3.772,3.772,3.772,90,90,90,2.725,O,1.385,1.0953222689,2.02,1.9,3.44
639,BiSmO3,Bi,Sm,False,not balanced,not balanced,1.38,0.96,cubic,-1.786,0.801,0.001,17.358,0,4.427,4.427,4.427,90,90,90,-2.646,O,1.385,0.8337527718000001,2.02,1.17,3.44
640,BiSnO3,Bi,Sn,False,2,4,1.38,0.69,orthorhombic,-1.465,0.22,-,14.635,0,5.71,6.189,8.283,90,90,90,3.114,O,1.385,0.9422410843000001,2.02,1.96,3.44
641,BiSrO3,Bi,Sr,False,not balanced,not balanced,1.38,1.18,orthorhombic,-1.945,0.156,-,16.905,0,6.059,6.233,8.952,90,90,90,-5.909,O,1.385,0.7622418129,2.02,0.95,3.44
642,BiTaO3,Bi,Ta,False,1,5,1.38,0.64,orthorhombic,-1.978,0.491,0,13.215,0,5.638,5.732,8.179,90,90,90,3.658,O,1.385,0.9655062963,2.02,1.5,3.44
643,BiTbO3,Bi,Tb,False,2,4,1.38,0.76,cubic,-1.83,0.688,0,16.361,0,4.341,4.341,4.341,90,90,90,-1.455,O,1.385,0.9114919579999999,2.02,-,3.44
644,BiTcO3,Bi,Tc,False,element not in BV,element not in BV,1.38,0.6,orthorhombic,-1.303,0.209,0.4,12.538,0,5.427,5.884,7.854,90,90,90,2.408,O,1.385,0.9849623426,2.02,1.9,3.44
645,BiTeO3,Bi,Te,False,2,4,1.38,0.97,cubic,-0.78,0.588,-,15.346,0,4.249,4.249,4.249,90,90,90,-0.073,O,1.385,0.8302124204000001,2.02,2.1,3.44
646,BiThO3,Bi,Th,False,2,4,1.38,0.94,cubic,-2.299,0.735,0,19.106,0,4.571,4.571,4.571,90,90,90,1.158,O,1.385,0.8409248387,2.02,1.3,3.44
647,BiTiO3,Bi,Ti,False,2,4,1.38,0.61,rhombohedral,-2.243,0.21,0.005,12.05,0,5.38,5.38,5.38,64.3,64.3,64.3,4.05,O,1.385,0.9800251879999999,2.02,1.54,3.44
648,BiTlO3,Bi,Tl,False,3,3,1.38,0.89,orthorhombic,-1.154,0.052,-,14.87,1.059,5.777,6.247,8.241,90,90,90,-1.519,O,1.385,0.8594067033,2.02,1.62,3.44
649,BiTmO3,Bi,Tm,False,3,3,1.38,0.88,cubic,-2.135,0.568,0,15.235,0.282,4.239,4.239,4.239,90,90,90,-0.198,O,1.385,0.8632009934,2.02,1.25,3.44
650,BiUO3,Bi,U,False,2,4,1.38,0.89,cubic,-1.717,1.066,0.245,23.213,0,4.878,4.878,4.878,90,90,90,-2.322,O,1.385,0.8594067033,2.02,1.38,3.44
651,BiVO3,Bi,V,False,3,3,1.38,0.64,orthorhombic,-2.045,0.007,0.4,12.262,0.891,5.448,5.75,7.828,90,90,90,3.34,O,1.385,0.9655062963,2.02,1.63,3.44
652,BiWO3,Bi,W,False,2,4,1.38,0.66,cubic,-1.414,0.543,0,12.987,0,4.019,4.019,4.019,90,90,90,3.201,O,1.385,0.9560636919,2.02,2.36,3.44
653,BiYO3,Bi,Y,False,3,3,1.38,0.9,cubic,-1.982,0.659,0,16.089,0,4.317,4.317,4.317,90,90,90,-0.964,O,1.385,0.8556456236,2.02,1.22,3.44
654,BiYbO3,Bi,Yb,False,3,3,1.38,0.87,cubic,-1.421,0.799,-,14.371,0,4.157,4.157,4.157,90,90,90,-2.28,O,1.385,0.8670289357,2.02,-,3.44
655,BiZnO3,Bi,Zn,False,not balanced,not balanced,1.38,0.74,orthorhombic,-1.323,0.107,-,12.119,0,5.385,5.721,7.867,90,90,90,-0.418,O,1.385,0.9200707059000001,2.02,1.65,3.44
656,BiZrO3,Bi,Zr,False,2,4,1.38,0.72,orthorhombic,-2.388,0.284,0,14.066,0,5.774,5.784,8.422,90,90,90,3.628,O,1.385,0.9288124703,2.02,1.33,3.44
657,CaAcO3,Ca,Ac,False,element not in BV,element not in BV,1.34,1.12,cubic,-2.373,0.708,0.084,19.615,0,4.612,4.612,4.612,90,90,90,-0.53,O,1.385,0.7692079755,1,1.1,3.44
658,CaAgO3,Ca,Ag,False,not balanced,not balanced,1.34,0.95,orthorhombic,-1.347,0.063,-,12.431,0,5.507,5.819,7.759,90,90,90,-0.905,O,1.385,0.8252102693000001,1,1.93,3.44
659,CaAlO3,Ca,Al,False,not balanced,not balanced,1.34,0.54,cubic,-2.884,0.078,-,10.252,0,3.715,3.715,3.715,90,90,90,0.239,O,1.385,1.0009693396,1,1.61,3.44
660,CaAsO3,Ca,As,False,not balanced,not balanced,1.34,0.52,orthorhombic,-2.124,0.192,-,11.497,0,5.387,5.547,7.695,90,90,90,2.158,O,1.385,1.0114782041,1,2.18,3.44
661,CaAuO3,Ca,Au,False,element not in BV,element not in BV,1.34,0.93,orthorhombic,-1.414,0.155,-,12.485,0,5.551,5.878,7.653,90,90,90,-0.703,O,1.385,0.8323395157,1,2.54,3.44
662,CaBO3,Ca,B,False,not balanced,not balanced,1.34,0.27,cubic,-1.873,0.911,-,8.157,0,3.442,3.442,3.442,90,90,90,-1.223,O,1.385,1.1642694736,1,2.04,3.44
663,CaBaO3,Ca,Ba,False,not balanced,not balanced,1.34,1.35,cubic,-1.425,1.125,-,19.341,0,4.59,4.59,4.59,90,90,90,-1.978,O,1.385,0.7045213816,1,0.89,3.44
664,CaBeO3,Ca,Be,False,not balanced,not balanced,1.34,0.45,orthorhombic,-2.059,0.432,-,9.003,0,4.712,5.323,7.18,90,90,90,-1.895,O,1.385,1.0500632037,1,1.57,3.44
665,CaBiO3,Ca,Bi,False,not balanced,not balanced,1.34,0.9,orthorhombic,-2.094,-0.037,-,14.423,0,5.758,6.015,8.329,90,90,90,1.441,O,1.385,0.8432673868,1,2.02,3.44
666,Ca2O3,Ca,Ca,False,not balanced,not balanced,1.34,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,O,1.385,0.8079102636,1,1,3.44
667,CaCdO3,Ca,Cd,False,not balanced,not balanced,1.34,0.95,orthorhombic,-1.522,0.277,-,13.116,0,5.618,5.946,7.853,90,90,90,-,O,1.385,0.8252102693000001,1,1.69,3.44
668,CaCeO3,Ca,Ce,False,2,4,1.34,0.87,cubic,-2.351,0.7,0.2,18.285,0,4.505,4.505,4.505,90,90,90,-1.45,O,1.385,0.8544860216,1,1.12,3.44
669,CaCoO3,Ca,Co,False,2,4,1.34,0.53,rhombohedral,-1.885,0.037,0.576,10.255,0,5.197,5.197,5.197,61.5,61.5,61.5,0.72,O,1.385,1.0061963335,1,1.88,3.44
670,CaCrO3,Ca,Cr,True,2,4,1.34,0.55,orthorhombic,-2.611,0.054,0.4,11.068,0.541,5.302,5.54,7.536,90,90,90,1.456,O,1.385,0.9957963714,1,1.66,3.44
671,CaCsO3,Ca,Cs,False,not balanced,not balanced,1.34,1.67,cubic,-0.634,1.287,-,18.02,0,4.483,4.483,4.483,90,90,90,-1.536,O,1.385,0.6307253613,1,0.79,3.44
672,CaCuO3,Ca,Cu,False,not balanced,not balanced,1.34,0.68,rhombohedral,-1.537,0.09,-,10.605,0,5.306,5.306,5.306,60.2,60.2,60.2,-0.449,O,1.385,0.9331070115000001,1,1.9,3.44
673,CaDyO3,Ca,Dy,False,not balanced,not balanced,1.34,0.99,orthorhombic,-3.036,0.18,0.2,14.166,0,5.895,6.119,7.855,90,90,90,-1.223,O,1.385,0.811311991,1,1.22,3.44
674,CaErO3,Ca,Er,False,not balanced,not balanced,1.34,0.89,orthorhombic,-3.068,0.172,0.2,13.907,0,5.866,6.086,7.791,90,90,90,-3.292,O,1.385,0.8469740565999999,1,1.24,3.44
675,CaEuO3,Ca,Eu,False,not balanced,not balanced,1.34,1.06,cubic,-1.97,0.693,0.016,14.976,0,4.215,4.215,4.215,90,90,90,-1.586,O,1.385,0.7880842449,1,-,3.44
676,CaFeO3,Ca,Fe,False,2,4,1.34,0.59,rhombohedral,-2.195,0.002,0.8,10.664,0,5.287,5.287,5.287,60.9,60.9,60.9,1.132,O,1.385,0.9756283437000001,1,1.83,3.44
677,CaGaO3,Ca,Ga,False,not balanced,not balanced,1.34,0.62,rhombohedral,-2.197,0.202,-,11.139,0,5.292,5.292,5.292,62.8,62.8,62.8,-0.749,O,1.385,0.9610304132999999,1,1.81,3.44
678,CaGdO3,Ca,Gd,False,not balanced,not balanced,1.34,0.94,cubic,-2.638,0.549,0.2,16.276,0,4.334,4.334,4.334,90,90,90,-1.267,O,1.385,0.8287595606999999,1,1.2,3.44
679,CaGeO3,Ca,Ge,False,2,4,1.34,0.53,cubic,-2.428,0.071,-,10.606,0.962,3.757,3.757,3.757,90,90,90,-,O,1.385,1.0061963335,1,2.01,3.44
680,CaHfO3,Ca,Hf,True,2,4,1.34,0.71,orthorhombic,-3.669,-0.087,0,12.605,4.716,5.541,5.724,7.948,90,90,90,6.417,O,1.385,0.9197450972,1,1.3,3.44
681,CaHgO3,Ca,Hg,False,not balanced,not balanced,1.34,1.11,cubic,-1.037,0.523,-,14.232,0,4.144,4.144,4.144,90,90,90,-1.148,O,1.385,0.7722909734000001,1,2,3.44
682,CaHoO3,Ca,Ho,False,not balanced,not balanced,1.34,0.9,orthorhombic,-3.052,0.176,0.2,14.022,0,5.879,6.105,7.814,90,90,90,-,O,1.385,0.8432673868,1,1.23,3.44
683,CaInO3,Ca,In,False,not balanced,not balanced,1.34,0.8,orthorhombic,-2.044,0.187,-,13.113,0,5.763,5.99,7.598,90,90,90,-1.23,O,1.385,0.8818608598000001,1,1.78,3.44
684,CaIrO3,Ca,Ir,True,2,4,1.34,0.63,orthorhombic,-1.919,0.023,0.027,11.479,0,5.312,5.64,7.662,90,90,90,0.979,O,1.385,0.9562610316,1,2.2,3.44
685,CaKO3,Ca,K,False,not balanced,not balanced,1.34,1.38,cubic,-0.421,1.506,-,15.249,0,4.24,4.24,4.24,90,90,90,-3.797,O,1.385,0.6968773883,1,0.82,3.44
686,CaLaO3,Ca,La,False,not balanced,not balanced,1.34,1.03,cubic,-2.493,0.654,0.189,17.578,0,4.446,4.446,4.446,90,90,90,-,O,1.385,0.7978741113,1,1.1,3.44
687,CaLiO3,Ca,Li,False,not balanced,not balanced,1.34,0.76,cubic,-1.377,0.616,-,9.924,0,3.675,3.675,3.675,90,90,90,-2.236,O,1.385,0.8983058176000001,1,0.98,3.44
688,CaLuO3,Ca,Lu,False,not balanced,not balanced,1.34,0.86,orthorhombic,-3.111,0.161,0.2,13.51,0,5.798,6.017,7.746,90,90,90,-0.989,O,1.385,0.8582921954,1,1.27,3.44
689,CaMgO3,Ca,Mg,False,not balanced,not balanced,1.34,0.72,orthorhombic,-2.227,0.256,-,11.596,0,3.838,7.126,8.479,90,90,90,-1.62,O,1.385,0.9153757619,1,1.31,3.44
690,CaMnO3,Ca,Mn,True,2,4,1.34,0.53,tetragonal,-2.349,0.094,0.605,11.353,0,3.794,3.794,3.943,90,90,90,1.209,O,1.385,1.0061963335,1,1.55,3.44
691,CaMoO3,Ca,Mo,True,2,4,1.34,0.65,orthorhombic,-2.59,0.064,0.028,11.802,0,5.41,5.62,7.764,90,90,90,4.546,O,1.385,0.9468628887999999,1,2.16,3.44
692,CaNaO3,Ca,Na,False,not balanced,not balanced,1.34,1.02,orthorhombic,-1.689,0.215,-,13.855,0,6.134,6.254,7.223,90,90,90,-,O,1.385,0.8011916751,1,0.93,3.44
693,CaNbO3,Ca,Nb,True,2,4,1.34,0.68,orthorhombic,-3.005,0.025,0.003,12.374,0,5.516,5.674,7.907,90,90,90,-,O,1.385,0.9331070115000001,1,1.6,3.44
694,CaNdO3,Ca,Nd,False,not balanced,not balanced,1.34,0.98,cubic,-2.455,0.697,0.2,17.345,0,4.426,4.426,4.426,90,90,90,-1.416,O,1.385,0.8147424857,1,1.14,3.44
695,CaNiO3,Ca,Ni,False,2,4,1.34,0.48,rhombohedral,-1.67,0.131,0,10.45,0,5.2,5.2,5.2,62.3,62.3,62.3,-0.189,O,1.385,1.0331721066,1,1.91,3.44
696,CaNpO3,Ca,Np,False,element not in BV,element not in BV,1.34,0.86,cubic,-2.892,0.613,0.6,16.845,0,4.383,4.383,4.383,90,90,90,3.625,O,1.385,0.8582921954,1,1.36,3.44
697,CaOsO3,Ca,Os,False,element not in BV,element not in BV,1.34,0.57,orthorhombic,-1.995,0.084,0.184,11.469,0,5.324,5.607,7.684,90,90,90,2.187,O,1.385,0.9856091963,1,2.2,3.44
698,CaPaO3,Ca,Pa,False,element not in BV,element not in BV,1.34,0.91,rhombohedral,-3.149,0.039,0.2,16.035,1.851,6.124,6.124,6.124,59.4,59.4,59.4,5.379,O,1.385,0.8395930191,1,1.5,3.44
699,CaPbO3,Ca,Pb,True,2,4,1.34,0.78,orthorhombic,-2.017,0.038,-,13.69,1.258,5.675,5.926,8.142,90,90,90,1.239,O,1.385,0.8900073805,1,2.33,3.44
700,CaPdO3,Ca,Pd,False,2,4,1.34,0.62,orthorhombic,-1.714,-0.099,-,11.604,0.423,5.347,5.653,7.677,90,90,90,-0.257,O,1.385,0.9610304132999999,1,2.2,3.44
701,CaPmO3,Ca,Pm,False,element not in BV,element not in BV,1.34,0.97,cubic,-2.511,0.619,0.2,17.023,0,4.399,4.399,4.399,90,90,90,-1.382,O,1.385,0.8182021141,1,-,3.44
702,CaPrO3,Ca,Pr,False,2,4,1.34,0.85,cubic,-2.407,0.672,0.2,17.748,0,4.46,4.46,4.46,90,90,90,-1.401,O,1.385,0.8621324290000001,1,1.13,3.44
703,CaPtO3,Ca,Pt,False,element not in BV,element not in BV,1.34,0.67,orthorhombic,-1.797,0.047,0,11.714,0.876,5.345,5.692,7.7,90,90,90,-0.262,O,1.385,0.9376476782,1,2.28,3.44
704,CaPuO3,Ca,Pu,False,element not in BV,element not in BV,1.34,0.83,orthorhombic,-3.343,-0.109,0.8,14.65,1.928,5.794,6.021,8.399,90,90,90,-,O,1.385,0.8699169204,1,1.28,3.44
705,CaRbO3,Ca,Rb,False,not balanced,not balanced,1.34,1.52,cubic,-0.431,1.484,-,15.663,0,4.278,4.278,4.278,90,90,90,-2.951,O,1.385,0.6632929359,1,0.82,3.44
706,CaReO3,Ca,Re,False,2,4,1.34,0.63,orthorhombic,-2.248,0.11,0.129,11.586,0,5.343,5.628,7.706,90,90,90,2.781,O,1.385,0.9562610316,1,1.9,3.44
707,CaRhO3,Ca,Rh,False,2,4,1.34,0.6,orthorhombic,-1.934,0.008,0.2,11.592,0,5.347,5.633,7.697,90,90,90,1.092,O,1.385,0.9707133393999999,1,2.28,3.44
708,CaRuO3,Ca,Ru,True,2,4,1.34,0.62,orthorhombic,-2.073,-0.017,0.397,11.614,0,5.371,5.61,7.708,90,90,90,2.353,O,1.385,0.9610304132999999,1,2.2,3.44
709,CaSbO3,Ca,Sb,False,not balanced,not balanced,1.34,0.68,orthorhombic,-2.276,0.117,-,13.281,0,5.612,5.854,8.085,90,90,90,2.491,O,1.385,0.9331070115000001,1,2.05,3.44
710,CaScO3,Ca,Sc,False,not balanced,not balanced,1.34,0.75,orthorhombic,-3.059,0.14,0.2,12.549,0,5.624,5.832,7.652,90,90,90,-0.806,O,1.385,0.9025133390000001,1,1.36,3.44
711,CaSiO3,Ca,Si,False,2,4,1.34,0.4,rhombohedral,-3.058,0.234,-,9.159,4.339,5.054,5.054,5.054,60.1,60.1,60.1,6.171,O,1.385,1.0794767388,1,1.9,3.44
712,CaSmO3,Ca,Sm,False,not balanced,not balanced,1.34,0.96,cubic,-2.543,0.599,0.2,16.855,0,4.384,4.384,4.384,90,90,90,-1.367,O,1.385,0.8216912489,1,1.17,3.44
713,CaSnO3,Ca,Sn,True,2,4,1.34,0.69,orthorhombic,-2.531,0.015,-,12.503,2.74,5.529,5.706,7.927,90,90,90,3.479,O,1.385,0.9286101102,1,1.96,3.44
714,CaSrO3,Ca,Sr,False,not balanced,not balanced,1.34,1.18,cubic,-1.549,1.025,-,17.11,0,4.406,4.406,4.406,90,90,90,-2.813,O,1.385,0.7512148065,1,0.95,3.44
715,CaTaO3,Ca,Ta,False,2,4,1.34,0.68,orthorhombic,-3.097,0.078,0,12.223,0,5.489,5.651,7.881,90,90,90,5.448,O,1.385,0.9331070115000001,1,1.5,3.44
716,CaTbO3,Ca,Tb,False,2,4,1.34,0.76,cubic,-2.541,0.53,0.2,15.977,0,4.307,4.307,4.307,90,90,90,-1.243,O,1.385,0.8983058176000001,1,-,3.44
717,CaTcO3,Ca,Tc,False,element not in BV,element not in BV,1.34,0.6,orthorhombic,-2.322,-0.024,0.346,11.627,0,5.37,5.601,7.731,90,90,90,3.419,O,1.385,0.9707133393999999,1,1.9,3.44
718,CaTeO3,Ca,Te,False,2,4,1.34,0.97,orthorhombic,-2.037,0.193,-,13.74,0,5.659,5.946,8.167,90,90,90,2.703,O,1.385,0.8182021141,1,2.1,3.44
719,CaThO3,Ca,Th,False,2,4,1.34,0.94,cubic,-3.203,0.617,0,18.935,1.603,4.558,4.558,4.558,90,90,90,5.025,O,1.385,0.8287595606999999,1,1.3,3.44
720,CaTiO3,Ca,Ti,True,2,4,1.34,0.61,orthorhombic,-3.367,-0.046,0,11.199,2.356,5.355,5.478,7.635,90,90,90,5.068,O,1.385,0.9658476084000001,1,1.54,3.44
721,CaTlO3,Ca,Tl,False,not balanced,not balanced,1.34,1.2,orthorhombic,-1.596,0.17,-,13.861,0,5.686,6.012,8.109,90,90,90,-1.03,O,1.385,0.7454026997,1,1.62,3.44
722,CaTmO3,Ca,Tm,False,not balanced,not balanced,1.34,0.96,orthorhombic,-3.089,0.167,0.2,13.761,0,5.84,6.061,7.775,90,90,90,-1.074,O,1.385,0.8216912489,1,1.25,3.44
723,CaUO3,Ca,U,False,2,4,1.34,0.89,cubic,-2.95,0.62,0.36,17.05,0,4.401,4.401,4.401,90,90,90,-,O,1.385,0.8469740565999999,1,1.38,3.44
724,CaVO3,Ca,V,True,2,4,1.34,0.58,orthorhombic,-2.901,-0.014,0.2,10.892,0.435,5.28,5.432,7.594,90,90,90,3.563,O,1.385,0.9805933734000001,1,1.63,3.44
725,CaWO3,Ca,W,False,2,4,1.34,0.66,orthorhombic,-2.568,0.195,0.003,11.873,0,5.408,5.642,7.784,90,90,90,4.338,O,1.385,0.9422327523999999,1,2.36,3.44
726,CaYO3,Ca,Y,False,not balanced,not balanced,1.34,0.9,cubic,-2.666,0.529,0.2,15.844,0,4.295,4.295,4.295,90,90,90,-1.37,O,1.385,0.8432673868,1,1.22,3.44
727,CaYbO3,Ca,Yb,False,not balanced,not balanced,1.34,0.95,cubic,-2.047,0.66,-,14.129,0,4.134,4.134,4.134,90,90,90,-1.714,O,1.385,0.8252102693000001,1,-,3.44
728,CaZnO3,Ca,Zn,False,not balanced,not balanced,1.34,0.74,orthorhombic,-1.703,0.26,-,11.654,0,5.426,5.661,7.588,90,90,90,-1.142,O,1.385,0.9067604606,1,1.65,3.44
729,CaZrO3,Ca,Zr,True,2,4,1.34,0.72,orthorhombic,-3.517,-0.059,0,12.962,4.083,5.582,5.787,8.025,90,90,90,6.012,O,1.385,0.9153757619,1,1.33,3.44
730,CdAcO3,Cd,Ac,False,element not in BV,element not in BV,1.31,1.12,orthorhombic,-2.106,0.179,0.2,16.436,0,6.085,6.169,8.756,90,90,90,-2.851,O,1.385,0.7607396309000001,1.69,1.1,3.44
731,CdAgO3,Cd,Ag,False,not balanced,not balanced,1.31,0.95,orthorhombic,-0.485,0.122,-,12.103,0,5.448,5.649,7.866,90,90,90,-1.44,O,1.385,0.8161253856,1.69,1.93,3.44
732,CdAlO3,Cd,Al,False,not balanced,not balanced,1.31,0.54,orthorhombic,-1.967,0.16,-,10.187,0,5.179,5.341,7.366,90,90,90,-0.406,O,1.385,0.9899494937000001,1.69,1.61,3.44
733,CdAsO3,Cd,As,False,not balanced,not balanced,1.31,0.52,orthorhombic,-1.228,0.2,-,11.462,0,5.378,5.52,7.722,90,90,90,1.426,O,1.385,1.0003426642,1.69,2.18,3.44
734,CdAuO3,Cd,Au,False,element not in BV,element not in BV,1.31,0.93,orthorhombic,-0.549,0.086,-,12.338,0,5.454,5.631,8.035,90,90,90,-1.049,O,1.385,0.8231761448,1.69,2.54,3.44
735,CdBO3,Cd,B,False,not balanced,not balanced,1.31,0.27,cubic,-0.836,1.045,-,8.316,0,3.464,3.464,3.464,90,90,90,-1.768,O,1.385,1.151451828,1.69,2.04,3.44
736,CdBaO3,Cd,Ba,False,not balanced,not balanced,1.31,1.35,orthorhombic,-1.535,0.23,-,17.186,0.843,6.481,6.492,8.169,90,90,90,-6.3,O,1.385,0.6967651829000001,1.69,0.89,3.44
737,CdBeO3,Cd,Be,False,not balanced,not balanced,1.31,0.45,cubic,-1.07,0.611,-,9.026,0,3.56,3.56,3.56,90,90,90,-2.662,O,1.385,1.0385028748,1.69,1.57,3.44
738,CdBiO3,Cd,Bi,False,not balanced,not balanced,1.31,0.9,orthorhombic,-1.258,0.007,-,14.164,0,5.758,5.913,8.321,90,90,90,-0.486,O,1.385,0.8339837091,1.69,2.02,3.44
739,CdCaO3,Cd,Ca,False,not balanced,not balanced,1.31,1.0,cubic,-0.816,0.982,-,14.897,0,4.207,4.207,4.207,90,90,90,-4.196,O,1.385,0.7990158387,1.69,1,3.44
740,Cd2O3,Cd,Cd,False,not balanced,not balanced,1.31,0.95,cubic,-0.301,0.688,-,13.686,0,4.09,4.09,4.09,90,90,90,-2.691,O,1.385,0.8161253856,1.69,1.69,3.44
741,CdCeO3,Cd,Ce,False,2,4,1.31,0.87,cubic,-1.4,0.855,0.215,18.344,0,4.51,4.51,4.51,90,90,90,-3.427,O,1.385,0.8450788361,1.69,1.12,3.44
742,CdCoO3,Cd,Co,False,2,4,1.31,0.53,rhombohedral,-0.98,0.141,0.195,10.111,0,5.167,5.167,5.167,61.6,61.6,61.6,-0.458,O,1.385,0.9951189427,1.69,1.88,3.44
743,CdCrO3,Cd,Cr,False,2,4,1.31,0.55,orthorhombic,-1.684,0.138,0.4,10.58,0.336,5.255,5.359,7.514,90,90,90,0.721,O,1.385,0.9848334756,1.69,1.66,3.44
744,CdCsO3,Cd,Cs,False,not balanced,not balanced,1.31,1.67,cubic,0.302,1.439,-,17.462,0,4.436,4.436,4.436,90,90,90,-2.614,O,1.385,0.6237815958,1.69,0.79,3.44
745,CdCuO3,Cd,Cu,False,not balanced,not balanced,1.31,0.68,orthorhombic,-0.669,0.148,-,10.392,0,5.213,5.355,7.447,90,90,90,-1.105,O,1.385,0.9228342737999999,1.69,1.9,3.44
746,CdDyO3,Cd,Dy,False,not balanced,not balanced,1.31,0.99,cubic,-1.731,0.688,0.203,15.738,0,4.285,4.285,4.285,90,90,90,-2.481,O,1.385,0.8023801159,1.69,1.22,3.44
747,CdErO3,Cd,Er,False,not balanced,not balanced,1.31,0.89,cubic,-1.789,0.653,0.202,15.362,0,4.251,4.251,4.251,90,90,90,-2.29,O,1.385,0.8376495716,1.69,1.24,3.44
748,CdEuO3,Cd,Eu,False,not balanced,not balanced,1.31,1.06,orthorhombic,-1.588,0.265,0.41,14.49,0,5.858,6.064,8.158,90,90,90,-3.671,O,1.385,0.7794080881000001,1.69,-,3.44
749,CdFeO3,Cd,Fe,False,2,4,1.31,0.59,orthorhombic,-1.283,0.077,0.799,10.599,0,5.272,5.348,7.518,90,90,90,0.208,O,1.385,0.9648874812,1.69,1.83,3.44
750,CdGaO3,Cd,Ga,False,not balanced,not balanced,1.31,0.62,orthorhombic,-1.356,0.21,-,11.008,0,5.277,5.503,7.581,90,90,90,-1.445,O,1.385,0.950450262,1.69,1.81,3.44
751,CdGdO3,Cd,Gd,False,not balanced,not balanced,1.31,0.94,cubic,-1.667,0.724,0.204,16.256,0,4.332,4.332,4.332,90,90,90,-2.669,O,1.385,0.8196356023,1.69,1.2,3.44
752,CdGeO3,Cd,Ge,True,2,4,1.31,0.53,orthorhombic,-1.588,0.114,-,10.494,1.201,5.259,5.32,7.501,90,90,90,3.067,O,1.385,0.9951189427,1.69,2.01,3.44
753,CdHfO3,Cd,Hf,False,2,4,1.31,0.71,rhombohedral,-2.773,0.025,0,12.535,2.653,5.665,5.665,5.665,58.9,58.9,58.9,2.526,O,1.385,0.9096194631,1.69,1.3,3.44
754,CdHgO3,Cd,Hg,False,not balanced,not balanced,1.31,1.11,cubic,-0.055,0.636,-,14.116,0,4.133,4.133,4.133,90,90,90,-2.201,O,1.385,0.7637886875,1.69,2,3.44
755,CdHoO3,Cd,Ho,False,not balanced,not balanced,1.31,0.9,cubic,-1.761,0.67,0.203,15.542,0,4.267,4.267,4.267,90,90,90,-2.387,O,1.385,0.8339837091,1.69,1.23,3.44
756,CdInO3,Cd,In,False,not balanced,not balanced,1.31,0.8,cubic,-0.845,0.594,-,13.851,0,4.107,4.107,4.107,90,90,90,-2.206,O,1.385,0.8721522999,1.69,1.78,3.44
757,CdIrO3,Cd,Ir,False,2,4,1.31,0.63,orthorhombic,-1.004,0.129,0.169,11.421,0,5.417,5.443,7.747,90,90,90,1.027,O,1.385,0.9457333872,1.69,2.2,3.44
758,CdKO3,Cd,K,False,not balanced,not balanced,1.31,1.38,cubic,0.585,1.728,-,15.07,0,4.224,4.224,4.224,90,90,90,-4.644,O,1.385,0.6892053437000001,1.69,0.82,3.44
759,CdLaO3,Cd,La,False,not balanced,not balanced,1.31,1.03,cubic,-1.547,0.803,0.211,17.671,0,4.454,4.454,4.454,90,90,90,-2.966,O,1.385,0.7890901761,1.69,1.1,3.44
760,CdLiO3,Cd,Li,False,not balanced,not balanced,1.31,0.76,cubic,-0.383,0.827,-,9.937,0,3.676,3.676,3.676,90,90,90,-3.831,O,1.385,0.8884162123,1.69,0.98,3.44
761,CdLuO3,Cd,Lu,False,not balanced,not balanced,1.31,0.86,cubic,-1.88,0.595,0.201,14.805,0,4.199,4.199,4.199,90,90,90,-1.984,O,1.385,0.848843107,1.69,1.27,3.44
762,CdMgO3,Cd,Mg,False,not balanced,not balanced,1.31,0.72,cubic,-1.074,0.617,-,11.555,0,3.866,3.866,3.866,90,90,90,-2.735,O,1.385,0.9052982305,1.69,1.31,3.44
