,feature,importance
0,e^(c) x e^(i) x e^(j),18.58311839924729
1,(1 + c)^(1/2) x e^(c) x e^(e),92.0041145842001
2,c x e^(e) x e^(i),95.89290596856867
3,(1 + c)^(1/2) x e^(c) x e^(g),97.11560727691959
4,(1 + c)^(1/2) x e^(c) x e^(h),99.24367818135123
5,(1 + c)^(1/2) x e^(c) x e^(i),99.82971283768849
6,e^(b) x (1 + c)^(1/2) x e^(c),100.0
