,feature,importance
0,e^(b) x (1 + c)^(1/2) x e^(c),25.697604385397728
1,e^(c) x e^(i) x e^(j),30.839321615170274
2,c x e^(e) x e^(i),32.30462603894535
3,(1 + c)^(1/2) x e^(c) x e^(i),32.46850721172994
4,(1 + c)^(1/2) x e^(c) x e^(e),35.843619870805604
5,(1 + c)^(1/2) x e^(c) x e^(g),36.587127756081415
6,(1 + c)^(1/2) x e^(c) x e^(h),100.0
