,c x e^(e) x e^(i),e^(b) x (1 + c)^(1/2) x e^(c),(1 + c)^(1/2) x e^(c) x e^(e),(1 + c)^(1/2) x e^(c) x e^(g),(1 + c)^(1/2) x e^(c) x e^(h),(1 + c)^(1/2) x e^(c) x e^(i),e^(c) x e^(i) x e^(j)
c x e^(e) x e^(i),1.0,0.45807679019957187,0.7558981891592019,0.5056868494699234,0.5019997220520854,0.668789105552818,0.22557779892212937
e^(b) x (1 + c)^(1/2) x e^(c),0.45807679019957187,1.0,0.20224582538252342,0.46580309689332994,0.8045179287750842,0.4176041794803394,0.13489919301802966
(1 + c)^(1/2) x e^(c) x e^(e),0.7558981891592019,0.20224582538252342,1.0,0.17793278608303503,0.27630221660791404,0.4649791262054342,-0.021785862811737007
(1 + c)^(1/2) x e^(c) x e^(g),0.5056868494699234,0.46580309689332994,0.17793278608303503,1.0,0.4054527504063969,0.4055798464325226,0.12673407411083068
(1 + c)^(1/2) x e^(c) x e^(h),0.5019997220520854,0.8045179287750842,0.27630221660791404,0.4054527504063969,1.0,0.37396011658318473,0.03542666587122201
(1 + c)^(1/2) x e^(c) x e^(i),0.668789105552818,0.4176041794803394,0.4649791262054342,0.4055798464325226,0.37396011658318473,1.0,0.8256456093083631
e^(c) x e^(i) x e^(j),0.22557779892212937,0.13489919301802966,-0.021785862811737007,0.12673407411083068,0.03542666587122201,0.8256456093083631,1.0
