,feature,mse,r2
0,None,1.4861724163595513,-0.7566363424783202
1,e^(c) x e^(i) x e^(j),0.2653865349594731,0.6863165895272421
2,(1 + c)^(1/2) x e^(c) x e^(e),0.21792430973163482,0.7424163184768213
3,(1 + c)^(1/2) x e^(c) x e^(h),0.6444907482876019,0.2382203717612602
4,(1 + c)^(1/2) x e^(c) x e^(g),1.5733745705604818,-0.8597081472874692
5,c x e^(e) x e^(i),1.1811502870135728,-0.39610417826162214
6,(1 + c)^(1/2) x e^(c) x e^(i),0.23407481126046906,0.7233266370761283
