,feature,mse,r2
0,None,0.11250244496802889,0.8670235826791883
1,e^(b) x (1 + c)^(1/2) x e^(c),0.08021618007845233,0.905185525158809
2,e^(c) x e^(i) x e^(j),0.07670054403622688,0.9093409609418438
3,c x e^(e) x e^(i),0.0897212552669282,0.8939506507053012
4,(1 + c)^(1/2) x e^(c) x e^(i),0.19887729247091943,0.7649296435578662
5,(1 + c)^(1/2) x e^(c) x e^(e),0.12462768754722336,0.8526917046672461
6,(1 + c)^(1/2) x e^(c) x e^(g),0.10073226608849839,0.8809357800458308
