,y,pred(y)
0,1.4,1.436565988513692
1,2.9,3.091818402621903
2,3.1,3.3647783244178346
3,3.7,3.387419496808525
4,3.6,3.682699241369581
5,2.8,3.0329822357523275
6,3.1,3.3110448568444957
7,3.2,3.4229223927454377
8,1.4,1.436565988513692
9,1.4,1.5083200310015368
10,1.4,1.436565988513692
11,1.2,1.588906342544268
12,1.4,1.436565988513692
13,1.3,1.436565988513692
14,1.4,1.5083200310015368
15,0.9,0.8695928130899183
16,3.0,2.9809840614238943
17,3.3,3.26004880748177
18,2.9,2.956082153237894
19,2.8,2.5565386665906566
20,3.1,3.0421625623261197
21,3.1,3.08816844068164
22,3.4,3.387419496808525
23,3.0,3.0118132911260784
24,3.2,3.0948272154917023
25,3.4,3.387419496808525
26,3.0,3.0421625623261197
27,3.1,3.091818402621903
28,3.0,2.9809840614238943
29,3.0,3.0421625623261197
30,3.1,3.08816844068164
31,3.2,3.0948272154917023
32,2.5,2.5565386665906566
33,3.1,3.0948272154917023
34,3.0,3.0421625623261197
35,3.0,3.0421625623261197
36,3.1,3.0948272154917023
37,2.4,2.5565386665906566
38,2.9,2.9809840614238943
39,3.1,3.091818402621903
40,2.6,2.5565386665906566
41,3.1,3.08816844068164
42,2.9,2.9809840614238943
43,2.6,2.5565386665906566
44,2.5,2.5565386665906566
45,0.9,0.8432615383085105
46,0.8,0.7717147012618921
47,1.1,1.4102347137322837
48,2.2,2.0923760168056496
49,1.9,1.7007760333332227
50,2.1,2.0923760168056496
51,5.42,5.342054077760084
52,5.3,5.253443124828818
53,5.28,5.253443124828818
54,2.61,2.5565386665906566
55,2.92,2.9809840614238943
56,3.57,3.3647783244178346
57,3.06,3.08816844068164
58,-0.39,-0.31918482139372
59,0.42,0.4778040649391775
60,0.46,0.4778040649391775
61,0.38,0.4259189057125715
62,1.45,1.588906342544268
63,3.0,3.0118132911260784
64,3.28,3.310358701859127
65,2.95,3.0118132911260784
66,3.07,3.0948272154917023
67,2.79,2.855539009832272
68,3.13,3.0948272154917023
69,0.5,0.4778040649391775
70,1.82,1.6169537966158336
71,0.4,0.4259189057125715
72,1.93,1.9292875449305116
73,3.33,3.310358701859127
74,3.1,3.0948272154917023
75,1.12,0.7980459760433
76,3.81,3.6973987266748716
77,4.35,4.330889796634053
78,1.37,1.5648578787131222
79,3.13,3.0948272154917023
80,3.16,3.0948272154917023
81,3.14,3.0948272154917023
82,3.18,3.091818402621903
83,3.25,3.26004880748177
84,2.7,2.5565386665906566
85,2.9,2.5565386665906566
86,2.6,2.4773956746429526
87,2.4,2.549412866953203
88,1.9,1.6610129708977908
89,0.5525568168,0.85291399763575
90,1.8758195838,1.6346816961163821
91,1.6765601022,1.6078249795589268
92,1.4308468586,1.5385266039317136
93,1.5978146751,1.6346816961163821
94,1.3593597253,1.5385266039317136
95,1.7928510355,1.7007760333332227
96,-1.6281682505,-1.5378393444110747
97,-1.145962373,-1.1043114717952254
98,0.7058299921,0.4788032091395673
99,-1.7419666716,-1.5045937600564616
100,0.472940643,0.5145405753542398
101,1.85,1.588906342544268
102,1.87,1.588906342544268
103,3.93,3.9115800156208453
104,0.95,0.8695928130899183
105,2.679,2.5565386665906566
106,2.204,2.341810196201631
107,3.817,3.5687909109816727
108,2.204,2.341810196201631
