,feature,importance
0,HOMO (eV),16.609344260478597
1,# H,17.5373501717362
2,LUMO (eV),19.048654020470543
3,# O,20.189532442565632
4,# B,20.266518686887693
5,No. of Aromatic Rings,20.630666512322144
6,HOMO-LUMO gap,21.510074449451533
7,# Li,22.082991964322833
8,# C,22.08864624422015
9,EA (eV),100.0
