,y,pred(y)
0,1.4,1.6531984963704183
1,2.9,3.148197065811212
2,3.1,3.364880480963034
3,3.7,3.270908758718555
4,3.6,3.8259268287225927
5,2.8,3.1670344319495545
6,3.1,3.4638205381473313
7,3.2,3.5185883820111297
8,1.4,1.66399558394318
9,1.4,1.7536452279399484
10,1.4,1.6858690591727665
11,1.2,1.5121128794483205
12,1.4,1.6858690591727665
13,1.3,1.6424956303690408
14,1.4,1.719362246143227
15,0.9,0.9397274287444759
16,3.0,2.947940221268393
17,3.3,3.1859631857795723
18,2.9,2.9328357270274417
19,2.8,2.843651363848025
20,3.1,3.032718553909902
21,3.1,3.059196731270907
22,3.4,3.270908758718555
23,3.0,3.0259826415937603
24,3.2,3.135650895547524
25,3.4,3.264123922869283
26,3.0,3.0394052944690326
27,3.1,3.141924714160103
28,3.0,2.9984965526516234
29,3.0,3.032718553909902
30,3.1,3.0721938802721542
31,3.2,3.1230872068889823
32,2.5,2.4579381938030664
33,3.1,3.104157953078854
34,3.0,3.032718553909902
35,3.0,3.0394052944690326
36,3.1,3.085058932534116
37,2.4,2.4819477085358947
38,2.9,2.947940221268393
39,3.1,3.154470863285013
40,2.6,2.6514525069906725
41,3.1,3.0526417229350784
42,2.9,2.9984965526516234
43,2.6,2.662016049994527
44,2.5,2.7233077206544998
45,0.9,0.8425542818818887
46,0.8,0.9387225861698325
47,1.1,1.800632640406608
48,2.2,1.8762799839360929
49,1.9,1.924832140285245
50,2.1,1.8762799839360929
51,5.42,5.308916938510615
52,5.3,5.325637342144612
53,5.28,5.323519169082476
54,2.61,2.597189297789985
55,2.92,2.955376331713694
56,3.57,3.437813654949464
57,3.06,3.0721938802721542
58,-0.39,-0.4048245390103782
59,0.42,0.5149262697809167
60,0.46,0.47777346947614774
61,0.38,0.4148727056735435
62,1.45,1.4934926252932037
63,3.0,3.0054544056595844
64,3.28,3.250705985270036
65,2.95,3.0259826415937603
66,3.07,3.104157953078854
67,2.79,2.8773429106749084
68,3.13,3.110482731282799
69,0.5,0.4527444100616229
70,1.82,1.7081083115571332
71,0.4,0.4148727056735435
72,1.93,1.7652416029291444
73,3.33,3.2374731438529487
74,3.1,3.085058932534116
75,1.12,1.129219177181401
76,3.81,3.557222338503191
77,4.35,4.283799828602763
78,1.37,1.2660150134139059
79,3.13,3.078641526040947
80,3.16,3.1230872068889823
81,3.14,3.123087206888986
82,3.18,3.1607490168257435
83,3.25,3.198671522855168
84,2.7,2.7621485537413584
85,2.9,2.4579381938030664
86,2.6,2.2830835404711287
87,2.4,2.371807376679424
88,1.9,1.397463876661437
89,0.5525568168,0.7820052337211414
90,1.8758195838,1.5170459516956258
91,1.6765601022,1.5305581374880406
92,1.4308468586,1.3517938860130752
93,1.5978146751,1.503474644192492
94,1.3593597253,1.4349208732932714
95,1.7928510355,1.9103001648225906
96,-1.6281682505,-1.0297850676566949
97,-1.145962373,-0.9695457476947098
98,0.7058299921,-0.4877124294459795
99,-1.7419666716,-1.5085178896897804
100,0.472940643,0.6737578424340624
101,1.85,1.5121128794483205
102,1.87,1.521564459994952
103,3.93,3.8638398087718624
104,0.95,0.8572376471053857
105,2.679,2.52905093991734
106,2.204,1.897757199384614
107,3.817,3.4726898612239427
108,2.204,1.897757199384614
