,feature,importance
0,# H,57.67057466689024
1,HOMO-LUMO gap,58.374609144918
2,LUMO (eV),58.534949028664975
3,No. of Aromatic Rings,59.17665983680042
4,HOMO (eV),59.98377256339251
5,# O,60.564263537194996
6,# C,60.710202524477396
7,# B,60.84545131097844
8,# Li,64.65962735337875
9,EA (eV),100.0
