,0,Formation energy [eV/atom],Magnetic moment [mu_B],Radius A [ang],Radius B [ang],Stability [eV/atom],Vacancy energy [eV/O atom],Volume per atom [A^3/atom],a [ang],alpha [deg],b [ang],beta [deg],c [ang],gamma [deg],band gap (dft),band gap(ml),diff
38,,-3.176,1,1.03,0.64,0.02,4.461,12.447,5.392,90,5.949,90,7.76,90,1.685,1.2757863071,0.4092136929
39,,-2.213,0.644,1.03,0.66,0.731,2.108,12.827,4.003,90,4.003,90,4.003,90,0,-0.0842347603,0.0842347603
40,,-2.791,0.6,1.03,0.9,0.832,2.554,15.753,4.287,90,4.287,90,4.287,90,0,0.4298029055,-0.4298029055
41,,-2.341,0.401,1.03,0.87,1.354,-3.14,14.146,4.136,90,4.136,90,4.136,90,0,-0.0371898455,0.0371898455
42,,-2.187,0.511,1.17,0.74,0.764,1.141,11.536,3.864,90,3.864,90,3.864,90,0,-0.1193118477,0.1193118477
43,,-3.182,0.51,1.03,0.72,0.219,5.154,13.763,5.669,90,6.188,90,7.847,90,0,-0.3427946534,0.3427946534
44,,-1.633,0,0.72,0.95,0.074,-6.146,13.017,5.179,90,5.572,90,9.022,90,1.337,-0.0379891653,1.3749891653
45,,-2.863,0.4,0.72,0.54,0.085,-0.28,8.938,4.981,90,5.175,90,6.935,90,1.896,0.9746753983,0.9213246017
46,,-1.084,0.627,0.72,0.52,0.955,0.308,11.161,3.821,90,3.821,90,3.821,90,0,0.0407712023,-0.0407712023
47,,-0.187,0.524,0.72,0.93,1.444,-4.06,13.074,4.028,90,4.028,90,4.028,90,0,0.0007060514,-0.0007060514
48,,-1.478,0.4,0.64,0.27,1.21,0.401,7.393,3.331,90,3.331,90,3.331,90,0,-0.0034919371,0.0034919371
49,,-2.704,0.2,0.72,1.35,0.162,-13.06,16.597,5.416,90,5.953,90,10.295,90,1.269,0.5755940705,0.6934059295
50,,-1.693,0.201,0.72,0.45,0.995,-3.297,7.823,3.395,90,3.395,90,3.395,90,0,-0.0080851382,0.0080851382
51,,-1.843,0.2,0.72,0.95,0.19,-7.137,12.529,5.335,90,5.416,90,8.671,90,0.206,0.4670193929,-0.2610193929
